%time,field.data
1637687213709188344,1
1637687213710196454,2
1637687213710812439,3
1637687213711431180,4
1637687213712160095,5
1637687213712801252,6
1637687213713482406,7
1637687213714153634,8
1637687213714763505,9
1637687213715272610,10
1637687213715883695,11
1637687213716365976,12
1637687213716836105,13
1637687213717304210,14
1637687213717752865,15
1637687213718205730,16
1637687213718668645,1
1637687213719125456,2
1637687213719555236,3
1637687213720010541,4
1637687213720306818,5
1637687213720646242,6
1637687213720965749,7
1637687213721311483,8
1637687213721626286,9
1637687213721933414,10
1637687213722274322,11
1637687213722614264,12
1637687213722958574,13
1637687213723305064,14
1637687213723732794,15
1637687213724123513,16
1637687213724494967,1
1637687213724840275,2
1637687213725122675,3
1637687213725390911,4
1637687213725674090,5
1637687213725948037,6
1637687213726242283,7
1637687213726525666,8
1637687213726804965,9
1637687213727074677,10
1637687213727308389,11
1637687213727580899,12
1637687213727887396,13
1637687213728153094,14
1637687213728435343,15
1637687213728697403,16
1637687213728971367,1
1637687213729311113,2
1637687213729623703,3
1637687213729956038,4
1637687213730229565,5
1637687213730465208,6
1637687213730727709,7
1637687213730975358,8
1637687213731200977,9
1637687213731500752,10
1637687213731765758,11
1637687213732042068,12
1637687213732315852,13
1637687213732519292,14
1637687213732791919,15
1637687213733063218,16
1637687213733318653,1
1637687213733525205,2
1637687213733777972,3
1637687213734062223,4
1637687213734334905,5
1637687213734615106,6
1637687213734900669,7
1637687213735105998,8
1637687213735310479,9
1637687213735506591,10
1637687213735698308,11
1637687213735916354,12
1637687213736096813,13
1637687213736333920,14
1637687213736563322,15
1637687213736768052,16
1637687213737006795,1
1637687213737227622,2
1637687213737416572,3
1637687213737595244,4
1637687213737812935,5
1637687213738044494,6
1637687213738270042,7
1637687213738503228,8
1637687213738759845,9
1637687213738999852,10
1637687213739184731,11
1637687213739403517,12
1637687213739598106,13
1637687213739804061,14
1637687213740003532,15
1637687213740182300,16
1637687213740356777,1
1637687213740531266,2
1637687213740697747,3
1637687213740865612,4
1637687213741062190,5
1637687213741240539,6
1637687213741430838,7
1637687213741621772,8
1637687213741765378,9
1637687213741911557,10
1637687213742079149,11
1637687213742257947,12
1637687213742428508,13
1637687213742596122,14
1637687213742770079,15
1637687213742939747,16
1637687213743117605,1
1637687213743295578,2
1637687213743435353,3
1637687213743609496,4
1637687213743780488,5
1637687213743956847,6
1637687213744111371,7
1637687213744286614,8
1637687213744456550,9
1637687213744622819,10
1637687213744790662,11
1637687213744975618,12
1637687213745132152,13
1637687213745256717,14
1637687213745409361,15
1637687213745550301,16
1637687213745692679,1
1637687213745860047,2
1637687213746017494,3
1637687213746176187,4
1637687213746325017,5
1637687213746620295,6
1637687213746771837,7
1637687213746924073,8
1637687213747059286,9
1637687213747246479,10
1637687213747400273,11
1637687213747548016,12
1637687213747694902,13
1637687213747864800,14
1637687213748014684,15
1637687213748171933,16
1637687213748315251,1
1637687213748458889,2
1637687213748608461,3
1637687213748749717,4
1637687213748910184,5
1637687213749058783,6
1637687213749193616,7
1637687213749306414,8
1637687213749449461,9
1637687213749587825,10
1637687213749717969,11
1637687213749850991,12
1637687213749978122,13
1637687213750110771,14
1637687213750228278,15
1637687213750362985,16
1637687213750492848,1
1637687213750615098,2
1637687213750750395,3
1637687213750882831,4
1637687213751006959,5
1637687213751139058,6
1637687213751270019,7
1637687213751400998,8
1637687213751522708,9
1637687213751649617,10
1637687213751772249,11
1637687213751899783,12
1637687213752005696,13
1637687213752127068,14
1637687213752237394,15
1637687213752352003,16
1637687213752478753,1
1637687213752609738,2
1637687213752741865,3
1637687213752867302,4
1637687213753003755,5
1637687213753130108,6
1637687213753245761,7
1637687213753379543,8
1637687213753500939,9
1637687213758329764,10
1637687213758449369,11
1637687213758581634,12
1637687213758704278,13
1637687213758835492,14
1637687213758949592,15
1637687213759055729,16
1637687213759173233,2
1637687213759291170,3
1637687213759406847,4
1637687213759545036,5
1637687213759684819,6
1637687213759835190,7
1637687213759951389,8
1637687213760068776,9
1637687213760188864,10
1637687213760316335,11
1637687213760452356,12
1637687213760571201,13
1637687213760706994,14
1637687213760846177,15
1637687213760987159,16
1637687213761123318,1
1637687213761251041,3
1637687213761379807,4
1637687213761513053,5
1637687213761649135,6
1637687213761788136,7
1637687213761924931,8
1637687213762054026,9
1637687213762180464,10
1637687213762299308,11
1637687213762437060,12
1637687213762570626,13
1637687213762692262,14
1637687213762826050,15
1637687213762945692,16
1637687213763081475,1
1637687213763239905,2
1637687213763360001,4
1637687213763494654,5
1637687213763626915,6
1637687213763762886,7
1637687213763914260,8
1637687213764049501,9
1637687213764181117,10
1637687213764311755,11
1637687213764446068,12
1637687213764566468,13
1637687213764698824,14
1637687213764835349,15
1637687213764971837,16
1637687213765109562,1
1637687213765245993,2
1637687213765367915,3
1637687213765490333,5
1637687213765614670,6
1637687213765728561,7
1637687213765854790,8
1637687213765987442,9
1637687213766115365,10
1637687213766244569,11
1637687213766372105,12
1637687213766505684,13
1637687213766635157,14
1637687213766768285,15
1637687213766903517,16
1637687213767032581,1
1637687213767174598,2
1637687213767294632,3
1637687213767425685,4
1637687213767554082,6
1637687213767684797,7
