%time,field.data
1637687213709040124,SP1
1637687213710133913,SP1
1637687213710753013,SP1
1637687213711366059,SP1
1637687213712100511,SP1
1637687213712734713,SP1
1637687213713410167,SP1
1637687213714083396,SP1
1637687213714698061,SP1
1637687213715230998,SP1
1637687213715831552,SP1
1637687213716326849,SP1
1637687213716788225,SP1
1637687213717264709,SP1
1637687213717713142,SP1
1637687213718160248,SP1
1637687213718627064,SP2
1637687213719086934,SP2
1637687213719515922,SP2
1637687213719983213,SP2
1637687213720276301,SP2
1637687213720612176,SP2
1637687213720929276,SP2
1637687213721275591,SP2
1637687213721595964,SP2
1637687213721901443,SP2
1637687213722244089,SP2
1637687213722580574,SP2
1637687213722929334,SP2
1637687213723271237,SP2
1637687213723699925,SP2
1637687213724086692,SP2
1637687213724457280,SP3
1637687213724811670,SP3
1637687213725094076,SP3
1637687213725367392,SP3
1637687213725645405,SP3
1637687213725923570,SP3
1637687213726217472,SP3
1637687213726496763,SP3
1637687213726775654,SP3
1637687213727052179,SP3
1637687213727286099,SP3
1637687213727556233,SP3
1637687213727856222,SP3
1637687213728128531,SP3
1637687213728406639,SP3
1637687213728675739,SP3
1637687213728939811,SP4
1637687213729282721,SP4
1637687213729588938,SP4
1637687213729931676,SP4
1637687213730205359,SP4
1637687213730442060,SP4
1637687213730702818,SP4
1637687213730953967,SP4
1637687213731180077,SP4
1637687213731478821,SP4
1637687213731737170,SP4
1637687213732018000,SP4
1637687213732292523,SP4
1637687213732493867,SP4
1637687213732766650,SP4
1637687213733038271,SP4
1637687213733295891,SP5
1637687213733499093,SP5
1637687213733748033,SP5
1637687213734033720,SP5
1637687213734310155,SP5
1637687213734586099,SP5
1637687213734863970,SP5
1637687213735085809,SP5
1637687213735290761,SP5
1637687213735486053,SP5
1637687213735680756,SP5
1637687213735895647,SP5
1637687213736075041,SP5
1637687213736309744,SP5
1637687213736539784,SP5
1637687213736747057,SP5
1637687213736986003,SP6
1637687213737208223,SP6
1637687213737397887,SP6
1637687213737574992,SP6
1637687213737790658,SP6
1637687213738019959,SP6
1637687213738249770,SP6
1637687213738481523,SP6
1637687213738734774,SP6
1637687213738979926,SP6
1637687213739161622,SP6
1637687213739386780,SP6
1637687213739576829,SP6
1637687213739778228,SP6
1637687213739984983,SP6
1637687213740163352,SP6
1637687213740340665,SP7
1637687213740516373,SP7
1637687213740679934,SP7
1637687213740850176,SP7
1637687213741042657,SP7
1637687213741223988,SP7
1637687213741413421,SP7
1637687213741604026,SP7
1637687213741748316,SP7
1637687213741896229,SP7
1637687213742063846,SP7
1637687213742240564,SP7
1637687213742410578,SP7
1637687213742581336,SP7
1637687213742752008,SP7
1637687213742924723,SP7
1637687213743097768,SP8
1637687213743278348,SP8
1637687213743419703,SP8
1637687213743591795,SP8
1637687213743762725,SP8
1637687213743941364,SP8
1637687213744094914,SP8
1637687213744269330,SP8
1637687213744438788,SP8
1637687213744608141,SP8
1637687213744775036,SP8
1637687213744956348,SP8
1637687213745118000,SP8
1637687213745243023,SP8
1637687213745396064,SP8
1637687213745537496,SP8
1637687213745676315,SP9
1637687213745843930,SP9
1637687213746001803,SP9
1637687213746160445,SP9
1637687213746312033,SP9
1637687213746602847,SP9
1637687213746758645,SP9
1637687213746911336,SP9
1637687213747041719,SP9
1637687213747218584,SP9
1637687213747386399,SP9
1637687213747532435,SP9
1637687213747681652,SP9
1637687213747848962,SP9
1637687213748001714,SP9
1637687213748156544,SP9
1637687213748299045,SP10
1637687213748444356,SP10
1637687213748592640,SP10
