%time,field.data
1636733162764679821,1
1636733162766093165,1
1636733162766892908,1
1636733162767721141,1
1636733162768639671,1
1636733162769518861,1
1636733162770377093,1
1636733162771228524,1
1636733162772105929,1
1636733162772841220,1
1636733162773658999,1
1636733162774409027,1
1636733162775243798,2
1636733162776059480,2
1636733162776783124,2
1636733162777479424,2
1636733162778172572,2
1636733162778869274,2
1636733162779509526,2
1636733162780019365,2
1636733162780459027,2
1636733162780995249,2
1636733162781498008,2
1636733162781980054,2
1636733162782473410,3
1636733162782942046,3
1636733162783459461,3
1636733162784037138,3
1636733162784466248,3
1636733162784815822,3
1636733162785158719,3
1636733162785492049,3
1636733162785841765,3
1636733162786171422,3
1636733162786500065,3
1636733162786843920,3
1636733162787180667,4
1636733162795078201,4
1636733162795430305,4
1636733162795790535,4
1636733162796125883,4
1636733162796469612,4
1636733162796825968,4
1636733162797230145,4
1636733162797539299,4
1636733162797838447,4
1636733162798135719,4
1636733162798432187,4
1636733162798730609,5
1636733162799066870,5
1636733162799366025,5
1636733162799628097,5
1636733162799870956,5
1636733162800109450,5
1636733162800352963,5
1636733162800598034,5
1636733162800836870,5
1636733162801075349,5
1636733162801291411,5
1636733162801508618,5
1636733162801743006,6
1636733162801987510,6
1636733162802208717,6
1636733162802448941,6
1636733162802702201,6
1636733162802902581,6
1636733162803113439,6
1636733162803365695,6
1636733162803667695,6
1636733162803924133,6
1636733162804162189,6
1636733162804422707,6
1636733162804669886,7
1636733162804862066,7
1636733162805070490,7
1636733162805268263,7
1636733162805480008,7
1636733162805684803,7
1636733162805889761,7
1636733162806095337,7
1636733162806286973,7
1636733162806481809,7
1636733162806687796,7
1636733162806897520,7
1636733162807101961,8
1636733162807288155,8
1636733162807482838,8
1636733162807697486,8
1636733162807878246,8
1636733162808093934,8
1636733162808297796,8
1636733162808504374,8
1636733162808680055,8
1636733162808884650,8
1636733162809067620,8
1636733162809269523,8
1636733162809474941,9
1636733162809627685,9
1636733162809802932,9
1636733162809972562,9
1636733162810138283,9
1636733162810313606,9
1636733162810476553,9
1636733162810606188,9
1636733162810747947,9
1636733162810879458,9
1636733162811009711,9
1636733162811140196,9
1636733162811276973,10
1636733162811411493,10
1636733162811544278,10
1636733162811675041,10
1636733162811809729,10
1636733162811947689,10
1636733162812071122,10
1636733162812208151,10
1636733162812335353,10
1636733162812485377,10
1636733162812602875,10
1636733162812745141,10
1636733162812907339,11
1636733162813010878,11
1636733162813146649,11
1636733162813270738,11
1636733162813407548,11
1636733162813518162,11
1636733162813651103,11
1636733162813780475,11
1636733162813886978,11
1636733162814017842,11
1636733162814148864,11
1636733162814264528,11
1636733162814394359,12
1636733162814524927,12
1636733162814656535,12
1636733162814795351,12
1636733162815052564,12
1636733162815186312,12
1636733162815313494,12
1636733162815450680,12
1636733162815596146,12
1636733162815727889,12
1636733162815864589,12
1636733162816001431,12
1636733162816132787,13
1636733162816267301,13
1636733162816398341,13
1636733162816529203,13
1636733162816662099,13
1636733162816797633,13
1636733162816932669,13
1636733162817064737,13
1636733162817198253,13
1636733162817329756,13
1636733162817461037,13
1636733162817592009,13
1636733162817724798,14
1636733162817857880,14
1636733162817993939,14
1636733162818125892,14
1636733162818264225,14
1636733162818397292,14
1636733162818534391,14
1636733162818665414,14
1636733162818807432,14
1636733162818938409,14
1636733162819070280,14
1636733162819198633,14
1636733162819331818,15
1636733162819464611,15
1636733162819607813,15
1636733162819744120,15
1636733162819874470,15
1636733162820009348,15
1636733162820142016,15
1636733162820276017,15
1636733162820439018,15
1636733162820581850,15
1636733162820727861,15
1636733162820866490,15
1636733162820982200,16
1636733162821117722,16
1636733162821257755,16
1636733162821392150,16
1636733162821530373,16
1636733162821665519,16
1636733162821804117,16
1636733162821937293,16
1636733162822057703,16
1636733162822171139,16
1636733162822302153,16
1636733162822422805,16
