%time,field.data
1636734010648388344,SP2
1636734010649389881,SP3
1636734010650015099,SP4
1636734010650785499,SP5
1636734010651614756,SP6
1636734010652452825,SP7
1636734010652940690,SP8
1636734010653415420,SP9
1636734010653904730,SP10
1636734010654401275,SP11
1636734010654870219,SP12
1636734010655334881,SP1
1636734010655817864,SP3
1636734010656288162,SP4
1636734010656725518,SP5
1636734010657166637,SP6
1636734010657584641,SP7
1636734010657887253,SP8
1636734010658302128,SP9
1636734010658655624,SP10
1636734010658980599,SP11
1636734010659293931,SP12
1636734010659816968,SP1
1636734010660113481,SP2
1636734010660446070,SP4
1636734010660760453,SP5
1636734010661389823,SP6
1636734010661828651,SP7
1636734010662129603,SP8
1636734010662444449,SP9
1636734010662703126,SP10
1636734010662979018,SP11
1636734010663245855,SP12
1636734010663499475,SP1
1636734010663789922,SP2
1636734010664065364,SP3
1636734010672737760,SP5
1636734010672961446,SP6
1636734010673180446,SP7
1636734010673420331,SP8
1636734010673662748,SP9
1636734010673880206,SP10
1636734010674178494,SP11
1636734010674401235,SP12
1636734010674622341,SP1
1636734010674845568,SP2
1636734010675084768,SP3
1636734010675316616,SP4
1636734010675529178,SP6
1636734010675761884,SP7
1636734010676001946,SP8
1636734010676341452,SP9
1636734010676863809,SP10
1636734010677106637,SP11
1636734010677346723,SP12
1636734010677547243,SP1
1636734010677747875,SP2
1636734010677951934,SP3
1636734010678157984,SP4
1636734010678357568,SP5
1636734010678555896,SP7
1636734010678761208,SP8
1636734010679248574,SP9
1636734010679449663,SP10
1636734010679662493,SP11
1636734010679878607,SP12
1636734010680078678,SP1
1636734010680273434,SP2
1636734010680467212,SP3
1636734010680665162,SP4
1636734010680869504,SP5
1636734010681076582,SP6
1636734010681283327,SP8
1636734010681480542,SP9
1636734010681684001,SP10
1636734010681894747,SP11
1636734010682156247,SP12
1636734010682388301,SP1
1636734010682549148,SP2
1636734010682691351,SP3
1636734010682869369,SP4
1636734010683043942,SP5
1636734010683223116,SP6
1636734010683405037,SP7
1636734010683600110,SP9
1636734010683805192,SP10
1636734010683984605,SP11
1636734010684155548,SP12
1636734010684333862,SP1
1636734010684513101,SP2
1636734010684687550,SP3
1636734010684860874,SP4
1636734010685023523,SP5
1636734010685172737,SP6
1636734010685350677,SP7
1636734010685524644,SP8
1636734010685701837,SP10
1636734010685864282,SP11
1636734010686042662,SP12
1636734010686201050,SP1
1636734010686374034,SP2
1636734010686528661,SP3
1636734010686688254,SP4
1636734010686858282,SP5
1636734010687035614,SP6
1636734010687206430,SP7
1636734010687382171,SP8
1636734010687542586,SP9
1636734010687676581,SP11
1636734010687810360,SP12
1636734010687944032,SP1
1636734010688070153,SP2
1636734010688204927,SP3
1636734010688327564,SP4
1636734010688463176,SP5
1636734010688590653,SP6
1636734010688725773,SP7
1636734010688853875,SP8
1636734010688986912,SP9
1636734010689121745,SP10
1636734010689250712,SP12
1636734010689380564,SP1
1636734010689520711,SP2
1636734010689657642,SP3
1636734010689797306,SP4
1636734010689933956,SP5
1636734010690107147,SP6
1636734010690240529,SP7
1636734010690361005,SP8
1636734010690493937,SP9
1636734010690624448,SP10
1636734010690760325,SP11
