%time,field.data
1636733162764847376,SP1
1636733162766174076,SP2
1636733162766962226,SP3
1636733162767796295,SP4
1636733162768727162,SP5
1636733162769602861,SP6
1636733162770470452,SP7
1636733162771311732,SP8
1636733162772178037,SP9
1636733162772915614,SP10
1636733162773731428,SP11
1636733162774493243,SP12
1636733162775323386,SP1
1636733162776136745,SP2
1636733162776846765,SP3
1636733162777539085,SP4
1636733162778247498,SP5
1636733162778941711,SP6
1636733162779554514,SP7
1636733162780059790,SP8
1636733162780511368,SP9
1636733162781049575,SP10
1636733162781542978,SP11
1636733162782031303,SP12
1636733162782524484,SP1
1636733162782985402,SP2
1636733162783504711,SP3
1636733162784078990,SP4
1636733162784503475,SP5
1636733162784851711,SP6
1636733162785195805,SP7
1636733162785523791,SP8
1636733162785877377,SP9
1636733162786201914,SP10
1636733162786535371,SP11
1636733162786883422,SP12
1636733162787223129,SP1
1636733162795106256,SP2
1636733162795465191,SP3
1636733162795823382,SP4
1636733162796158526,SP5
1636733162796507946,SP6
1636733162796861549,SP7
1636733162797264637,SP8
1636733162797566259,SP9
1636733162797864840,SP10
1636733162798165968,SP11
1636733162798462262,SP12
1636733162798756506,SP1
1636733162799098370,SP2
1636733162799390194,SP3
1636733162799647447,SP4
1636733162799896900,SP5
1636733162800130346,SP6
1636733162800376388,SP7
1636733162800623457,SP8
1636733162800858068,SP9
1636733162801100170,SP10
1636733162801311481,SP11
1636733162801531051,SP12
1636733162801769515,SP1
1636733162802008568,SP2
1636733162802229669,SP3
1636733162802473534,SP4
1636733162802726358,SP5
1636733162802921292,SP6
1636733162803135092,SP7
1636733162803386077,SP8
1636733162803696940,SP9
1636733162803949054,SP10
1636733162804183497,SP11
1636733162804444072,SP12
1636733162804691085,SP1
1636733162804882485,SP2
1636733162805090650,SP3
1636733162805285591,SP4
1636733162805497373,SP5
1636733162805705982,SP6
1636733162805906676,SP7
1636733162806114520,SP8
1636733162806306110,SP9
1636733162806504803,SP10
1636733162806705147,SP11
1636733162806918531,SP12
1636733162807121071,SP1
1636733162807305397,SP2
1636733162807499683,SP3
1636733162807714929,SP4
1636733162807899593,SP5
1636733162808114625,SP6
1636733162808314960,SP7
1636733162808525194,SP8
1636733162808696945,SP9
1636733162808905770,SP10
1636733162809086861,SP11
1636733162809287740,SP12
1636733162809490434,SP1
