%time,field.data
1636733162764679821,1
1636733162766093165,1
1636733162766892908,1
1636733162767721141,1
1636733162768639671,1
1636733162769518861,1
1636733162770377093,1
1636733162771228524,1
1636733162772105929,1
1636733162772841220,1
1636733162773658999,1
1636733162774409027,1
1636733162775243798,2
1636733162776059480,2
1636733162776783124,2
1636733162777479424,2
1636733162778172572,2
1636733162778869274,2
1636733162779509526,2
1636733162780019365,2
1636733162780459027,2
1636733162780995249,2
1636733162781498008,2
1636733162781980054,2
1636733162782473410,3
1636733162782942046,3
1636733162783459461,3
1636733162784037138,3
1636733162784466248,3
1636733162784815822,3
1636733162785158719,3
1636733162785492049,3
1636733162785841765,3
1636733162786171422,3
1636733162786500065,3
1636733162786843920,3
1636733162787180667,4
1636733162795078201,4
1636733162795430305,4
1636733162795790535,4
1636733162796125883,4
1636733162796469612,4
1636733162796825968,4
1636733162797230145,4
1636733162797539299,4
1636733162797838447,4
1636733162798135719,4
1636733162798432187,4
1636733162798730609,5
1636733162799066870,5
1636733162799366025,5
1636733162799628097,5
1636733162799870956,5
1636733162800109450,5
1636733162800352963,5
1636733162800598034,5
1636733162800836870,5
1636733162801075349,5
1636733162801291411,5
1636733162801508618,5
1636733162801743006,6
1636733162801987510,6
1636733162802208717,6
1636733162802448941,6
1636733162802702201,6
1636733162802902581,6
1636733162803113439,6
1636733162803365695,6
1636733162803667695,6
1636733162803924133,6
1636733162804162189,6
1636733162804422707,6
1636733162804669886,7
1636733162804862066,7
1636733162805070490,7
1636733162805268263,7
1636733162805480008,7
1636733162805684803,7
1636733162805889761,7
1636733162806095337,7
1636733162806286973,7
1636733162806481809,7
1636733162806687796,7
1636733162806897520,7
1636733162807101961,8
1636733162807288155,8
1636733162807482838,8
1636733162807697486,8
1636733162807878246,8
1636733162808093934,8
1636733162808297796,8
1636733162808504374,8
1636733162808680055,8
1636733162808884650,8
1636733162809067620,8
1636733162809269523,8
1636733162809474941,9
1636733162809627685,9
1636733162809802932,9
1636733162809972562,9
1636733162810138283,9
1636733162810313606,9
1636733162810476553,9
1636733162810606188,9
1636733162810747947,9
1636733162810879458,9
1636733162811009711,9
1636733162811140196,9
1636733162811276973,10
1636733162811411493,10
1636733162811544278,10
1636733162811675041,10
1636733162811809729,10
1636733162811947689,10
1636733162812071122,10
1636733162812208151,10
1636733162812335353,10
1636733162812485377,10
1636733162812602875,10
1636733162812745141,10
1636733162812907339,11
1636733162813010878,11
1636733162813146649,11
1636733162813270738,11
1636733162813407548,11
1636733162813518162,11
