%time,field.data
1636730517318764819,5
1636730517319552232,6
1636730517320119095,7
1636730517320674973,8
1636730517321254666,9
1636730517321788264,10
1636730517322206070,11
1636730517322611085,12
1636730517323056203,13
1636730517323534493,14
1636730517324061341,15
1636730517324586607,16
1636730517324973409,5
1636730517325471728,6
1636730517325981284,7
1636730517326494450,8
1636730517326994478,9
1636730517327334736,10
1636730517327692298,11
1636730517328062763,12
1636730517328443771,13
1636730517328853514,14
1636730517329340324,15
1636730517329714257,16
1636730517330082872,5
1636730517330470504,6
1636730517330838800,7
1636730517331207533,8
1636730517331617477,9
1636730517331987651,10
1636730517332280807,11
1636730517332589213,12
1636730517332879592,13
1636730517333161769,14
1636730517333460110,15
1636730517333745496,16
1636730517334034892,5
1636730517334331598,6
1636730517334617434,7
1636730517334915385,8
1636730517335211120,9
1636730517335497245,10
1636730517335811228,11
1636730517336087639,12
1636730517336377127,13
1636730517336667121,14
1636730517336999663,15
1636730517337300927,16
1636730517337539253,5
1636730517337774380,6
1636730517338010413,7
1636730517338227898,8
1636730517338456789,9
1636730517338722081,10
1636730517338954202,11
1636730517339192601,12
1636730517339410319,13
1636730517339675698,14
1636730517339923838,15
1636730517340135900,16
1636730517340368772,5
1636730517340585648,6
1636730517340803423,7
1636730517341028390,8
1636730517341261279,9
1636730517341472061,10
1636730517341716829,11
1636730517341952089,12
1636730517342169106,13
1636730517342296736,14
1636730517342432899,15
1636730517342564221,16
1636730517342693567,5
1636730517342827359,6
1636730517342958507,7
1636730517343075832,8
1636730517343211342,9
1636730517343339876,10
1636730517343474176,11
1636730517343615370,12
1636730517343752378,13
1636730517343858403,14
1636730517343996445,15
1636730517344127423,16
1636730517344257762,5
1636730517344388883,6
1636730517344525934,7
1636730517344666558,8
1636730517344811750,9
1636730517344925842,10
1636730517345061715,11
1636730517345193592,12
1636730517345323595,13
1636730517345450159,14
1636730517345578663,15
1636730517345702712,16
1636730517345835980,5
1636730517345970983,6
1636730517346089715,7
1636730517346223782,8
1636730517346355163,9
1636730517346481534,10
1636730517346610571,11
1636730517346728310,12
1636730517346854567,13
1636730517346983907,14
1636730517347108360,15
1636730517347225463,16
1636730517347352332,5
1636730517347479170,6
1636730517347612504,7
1636730517347731508,8
1636730517347856483,9
1636730517347975745,10
1636730517348093655,11
1636730517348207748,12
1636730517348326775,13
1636730517348443284,14
1636730517348564306,15
1636730517348678657,16
1636730517348798497,5
1636730517348924090,6
1636730517360514165,7
1636730517360657475,8
1636730517360787373,9
1636730517360927330,10
1636730517361068777,11
1636730517361205137,12
1636730517361336344,13
1636730517361465648,14
1636730517361566042,15
1636730517361695366,16
1636730517361825015,5
1636730517361933176,6
1636730517362063157,7
1636730517362182057,8
1636730517362320488,9
1636730517362455458,10
1636730517362584912,11
1636730517362691805,12
1636730517362813075,13
1636730517362945082,14
1636730517363075099,15
1636730517363209713,16
1636730517363339917,5
1636730517363619174,6
1636730517363770279,7
1636730517363899956,8
1636730517364033923,9
1636730517364158911,10
1636730517364293266,11
1636730517364406953,12
1636730517364528748,13
1636730517364665550,14
1636730517364795645,15
1636730517364905071,16
1636730517365037883,5
1636730517365161675,6
1636730517365297989,7
1636730517365413530,8
1636730517365524886,9
1636730517365652534,10
1636730517365786815,11
1636730517365918544,12
1636730517366052265,13
1636730517366185400,14
1636730517366318235,15
1636730517366449962,16
1636730517366586301,5
1636730517366721709,6
1636730517366851808,7
1636730517366987049,8
1636730517367116920,9
1636730517367247271,10
1636730517367376329,11
1636730517367512706,12
1636730517367669219,13
1636730517367797814,14
1636730517367931505,15
1636730517368067072,16
1636730517368198945,5
1636730517368331924,6
1636730517368460219,7
1636730517368595035,8
1636730517368742994,9
1636730517368893475,10
1636730517369013621,11
1636730517369138330,12
1636730517369272790,13
1636730517369402579,14
1636730517369539855,15
1636730517369668694,16
