%time,field.data
1636730517318647826,SP1
1636730517319497949,SP1
1636730517320064290,SP1
1636730517320622203,SP1
1636730517321182297,SP1
1636730517321743540,SP1
1636730517322167404,SP1
1636730517322561187,SP1
1636730517323013050,SP1
1636730517323481221,SP1
1636730517324016158,SP1
1636730517324536558,SP1
1636730517324924020,SP2
1636730517325425862,SP2
1636730517325936309,SP2
1636730517326441619,SP2
1636730517326951008,SP2
1636730517327303628,SP2
1636730517327661056,SP2
1636730517328023552,SP2
1636730517328394057,SP2
1636730517328808068,SP2
1636730517329304214,SP2
1636730517329680132,SP2
1636730517330044442,SP3
1636730517330432464,SP3
1636730517330804378,SP3
1636730517331168700,SP3
1636730517331548097,SP3
1636730517331955603,SP3
1636730517332254809,SP3
1636730517332563175,SP3
1636730517332849434,SP3
1636730517333135783,SP3
1636730517333429932,SP3
1636730517333719459,SP3
1636730517334003292,SP4
1636730517334301283,SP4
1636730517334591604,SP4
1636730517334885213,SP4
1636730517335183414,SP4
1636730517335470272,SP4
1636730517335779294,SP4
1636730517336060696,SP4
1636730517336346970,SP4
1636730517336638315,SP4
1636730517336957644,SP4
1636730517337275453,SP4
1636730517337514386,SP5
1636730517337753910,SP5
1636730517337989164,SP5
1636730517338207512,SP5
1636730517338434243,SP5
1636730517338696664,SP5
1636730517338933585,SP5
1636730517339167932,SP5
1636730517339391682,SP5
1636730517339650055,SP5
1636730517339901526,SP5
1636730517340116930,SP5
1636730517340344164,SP6
1636730517340564832,SP6
1636730517340784691,SP6
1636730517341008129,SP6
1636730517341236609,SP6
1636730517341448200,SP6
1636730517341692519,SP6
1636730517341931890,SP6
1636730517342155696,SP6
1636730517342284233,SP6
1636730517342419305,SP6
1636730517342552025,SP6
1636730517342681346,SP7
1636730517342815025,SP7
1636730517342946067,SP7
1636730517343062669,SP7
1636730517343197542,SP7
1636730517343328168,SP7
1636730517343461845,SP7
1636730517343601127,SP7
1636730517343740042,SP7
1636730517343846972,SP7
1636730517343982631,SP7
1636730517344115489,SP7
1636730517344244531,SP8
1636730517344375034,SP8
1636730517344512146,SP8
1636730517344654692,SP8
1636730517344790924,SP8
1636730517344914519,SP8
1636730517345049665,SP8
1636730517345181666,SP8
1636730517345312214,SP8
1636730517345436153,SP8
1636730517345566766,SP8
1636730517345691602,SP8
1636730517345824329,SP9
1636730517345957728,SP9
1636730517346077742,SP9
1636730517346210378,SP9
1636730517346341898,SP9
1636730517346469731,SP9
1636730517346599138,SP9
1636730517346716613,SP9
1636730517346843072,SP9
1636730517346969554,SP9
1636730517347096482,SP9
1636730517347212263,SP9
1636730517347339841,SP10
1636730517347465158,SP10
1636730517347600659,SP10
1636730517347718012,SP10
1636730517347843126,SP10
1636730517347963923,SP10
1636730517348082267,SP10
1636730517348196039,SP10
1636730517348315396,SP10
1636730517348430213,SP10
1636730517348552707,SP10
1636730517348667032,SP10
1636730517348787044,SP11
1636730517348910914,SP11
1636730517360497254,SP11
1636730517360645096,SP11
1636730517360773609,SP11
1636730517360904586,SP11
1636730517361056801,SP11
1636730517361190814,SP11
1636730517361324024,SP11
1636730517361452974,SP11
1636730517361554938,SP11
1636730517361682903,SP11
1636730517361813631,SP12
1636730517361919588,SP12
1636730517362051278,SP12
1636730517362169416,SP12
1636730517362306703,SP12
1636730517362441751,SP12
1636730517362574350,SP12
1636730517362678492,SP12
1636730517362801908,SP12
1636730517362930911,SP12
1636730517363062903,SP12
1636730517363195734,SP12
1636730517363328048,1
1636730517363600695,1
1636730517363756258,1
1636730517363887235,1
1636730517364020313,1
1636730517364148339,1
1636730517364279611,1
1636730517364393705,1
1636730517364514954,1
1636730517364651755,1
1636730517364784193,1
1636730517364892399,1
1636730517365025475,2
1636730517365147083,2
1636730517365286161,2
1636730517365402691,2
1636730517365511526,2
1636730517365641256,2
1636730517365773065,2
1636730517365906047,2
1636730517366040204,2
1636730517366171551,2
1636730517366306454,2
1636730517366437879,2
1636730517366572449,3
1636730517366707909,3
1636730517366839893,3
1636730517366973198,3
1636730517367103184,3
1636730517367233140,3
1636730517367364367,3
1636730517367498881,3
1636730517367655090,3
1636730517367786323,3
1636730517367917733,3
1636730517368053335,3
1636730517368186565,4
1636730517368320011,4
1636730517368448884,4
1636730517368581639,4
1636730517368728586,4
1636730517368881517,4
1636730517368998642,4
1636730517369126355,4
1636730517369259115,4
1636730517369390973,4
1636730517369524234,4
1636730517369656576,4
