%time,field.data
1636130050170736345,SP1
1636130050171927291,SP2
1636130050172704683,SP3
1636130050173401324,SP4
1636130050174251091,SP5
1636130050174905318,SP6
1636130050175552133,SP7
1636130050176321983,SP8
1636130050177013630,SP9
1636130050177844434,SP10
1636130050178612101,SP11
1636130050179293630,SP1
1636130050180024415,SP2
1636130050180830711,SP3
1636130050181562192,SP4
1636130050182322901,SP5
1636130050182909038,SP6
1636130050183436392,SP7
1636130050183950838,SP8
1636130050184488964,SP9
1636130050185011209,SP10
1636130050185581746,SP11
1636130050186134530,SP12
1636130050186644637,SP1
1636130050187133138,SP2
1636130050187588090,SP3
1636130050187936242,SP4
1636130050188339591,SP5
1636130050188697349,SP6
1636130050189061369,SP7
1636130050189407369,SP8
1636130050189769120,SP9
1636130050190134695,SP10
1636130050190494730,SP11
1636130050190846043,SP12
1636130050191195785,SP1
1636130050191539997,SP2
1636130050191866580,SP3
1636130050192251221,SP4
1636130050192622357,SP5
1636130050192930576,SP6
1636130050193222914,SP7
1636130050193527507,SP8
1636130050193791347,SP9
1636130050194077808,SP10
1636130050194357730,SP11
1636130050194668246,SP12
1636130050194957734,SP1
1636130050197944592,SP2
1636130050198209850,SP3
1636130050198466506,SP4
1636130050198739952,SP5
1636130050198994976,SP6
1636130050199242565,SP7
1636130050199478827,SP8
1636130050199721051,SP9
1636130050199979856,SP10
1636130050200290851,SP11
1636130050200547953,SP12
1636130050200791881,SP1
1636130050201043045,SP2
1636130050201294519,SP3
1636130050201593174,SP4
1636130050201840195,SP5
1636130050202090134,SP6
1636130050202337997,SP7
1636130050202580863,SP8
1636130050202781528,SP9
1636130050203000942,SP10
1636130050203192361,SP11
1636130050203404240,SP12
1636130050203610154,SP1
1636130050203846946,SP2
1636130050204099000,SP3
1636130050204306212,SP4
1636130050204522308,SP5
1636130050204717768,SP6
1636130050204910433,SP7
1636130050205125086,SP8
1636130050205306829,SP9
1636130050205495327,SP10
1636130050205678230,SP11
1636130050205875241,SP12
1636130050206084122,SP1
1636130050206302422,SP2
1636130050206529193,SP3
1636130050206671938,SP4
1636130050206812255,SP5
1636130050206938285,SP6
1636130050207045236,SP7
1636130050207191090,SP8
1636130050207346298,SP9
1636130050207480887,SP10
1636130050207611131,SP11
1636130050207751057,SP12
1636130050207890941,SP1
1636130050208023109,SP2
1636130050208205396,SP3
1636130050208326133,SP4
1636130050208465257,SP5
1636130050208600232,SP6
1636130050208738254,SP7
1636130050208870599,SP8
1636130050209005725,SP9
1636130050209142444,SP10
1636130050209302723,SP11
1636130050209457292,SP12
1636130050209594126,SP1
1636130050209728050,SP2
1636130050209863775,SP3
1636130050210000430,SP4
1636130050210136401,SP5
1636130050210273210,SP6
1636130050210403339,SP7
1636130050210529057,SP8
1636130050210665213,SP9
1636130050210802691,SP10
1636130050210940157,SP11
1636130050211074593,SP12
1636130050211213798,SP1
1636130050211353608,SP2
1636130050211488589,SP3
1636130050211621410,SP4
1636130050211756635,SP5
1636130050211893331,SP6
1636130050212029701,SP7
1636130050212180114,SP8
1636130050212305137,SP9
1636130050212429441,SP10
1636130050212548669,SP11
1636130050212682695,SP12
1636130050212816961,SP1
1636130050212954328,SP2
1636130050213087293,SP3
1636130050213222131,SP4
1636130050213354648,SP5
1636130050213482648,SP6
1636130050213612177,SP7
1636130050213741660,SP8
1636130050213871075,SP9
1636130050214010700,SP10
1636130050214147603,SP11
1636130050214287122,SP12
1636130050214422918,SP1
1636130050214564579,SP2
1636130050214704999,SP3
1636130050214848341,SP4
1636130050215115511,SP5
1636130050215253857,SP6
1636130050215389601,SP7
1636130050215529156,SP8
1636130050215668576,SP9
1636130050215800744,SP10
1636130050215941656,SP11
1636130050216100183,SP12
1636130050216212306,SP1
1636130050216328618,SP2
1636130050216464694,SP3
1636130050216590996,SP4
1636130050216728473,SP5
1636130050216867357,SP6
1636130050217007054,SP7
1636130050217135481,SP8
1636130050217269863,SP9
1636130050217434405,SP10
1636130050217579926,SP11
1636130050217713242,SP12
1636130050217851909,SP1
1636130050217982618,SP2
1636130050218125301,SP3
1636130050218257614,SP4
1636130050218395402,SP5
1636130050218533843,SP6
1636130050218672951,SP7
1636130050218808306,SP8
1636130050218946787,SP9
1636130050219086739,SP10
1636130050219224249,SP11
1636130050219357048,SP12
1636130050219494041,SP1
1636130050219630352,SP2
1636130050219771145,SP3
1636130050219909950,SP4
1636130050220048550,SP5
1636130050220204973,SP6
1636130050220333327,SP7
1636130050220442760,SP8
1636130050220571077,SP9
1636130050220709514,SP10
1636130050220842554,SP11
1636130050220984268,SP12
1636130050221116608,SP1
1636130050221227956,SP2
1636130050221360123,SP3
1636130050221471266,SP4
1636130050221581463,SP5
1636130050221720882,SP6
1636130050221860055,SP7
1636130050221989989,SP8
1636130050222122321,SP9
1636130050222246032,SP10
1636130050222384944,SP11
1636130050222510392,SP12
