%time,field.data
1636130050170565338,SP12
1636130050171854619,SP12
1636130050172628716,SP12
1636130050173335128,SP12
1636130050174165845,SP12
1636130050174843518,SP12
1636130050175475498,SP12
1636130050176243692,SP12
1636130050176948052,SP12
1636130050177718506,SP12
1636130050178545110,SP12
1636130050179229861,1
1636130050179948010,1
1636130050180755838,1
1636130050181485452,1
1636130050182246443,1
1636130050182855483,1
1636130050183382594,1
1636130050183903563,1
1636130050184435015,1
1636130050184959849,1
1636130050185498057,1
1636130050186080172,1
1636130050186598669,2
1636130050187082633,2
1636130050187552744,2
1636130050187901031,2
1636130050188301074,2
1636130050188657949,2
1636130050189023830,2
1636130050189373777,2
1636130050189732437,2
1636130050190095304,2
1636130050190461251,2
1636130050190813058,2
1636130050191157235,3
1636130050191507026,3
1636130050191832936,3
1636130050192210690,3
1636130050192592873,3
1636130050192897593,3
1636130050193192201,3
1636130050193500127,3
1636130050193758118,3
1636130050194051286,3
1636130050194329591,3
1636130050194635088,3
1636130050194931370,4
1636130050197906970,4
1636130050198185008,4
1636130050198439638,4
1636130050198705557,4
1636130050198968159,4
1636130050199222244,4
1636130050199453876,4
1636130050199698616,4
1636130050199957769,4
1636130050200263062,4
1636130050200526385,4
1636130050200766525,5
1636130050201017114,5
1636130050201268032,5
1636130050201567113,5
1636130050201817617,5
1636130050202065214,5
1636130050202315096,5
1636130050202561038,5
1636130050202764020,5
1636130050202981703,5
1636130050203173039,5
1636130050203385122,5
1636130050203585453,6
1636130050203821057,6
1636130050204069589,6
1636130050204285330,6
1636130050204497718,6
1636130050204698868,6
1636130050204891563,6
1636130050205103585,6
1636130050205286760,6
1636130050205476508,6
1636130050205660304,6
1636130050205851995,6
1636130050206063761,7
1636130050206280940,7
1636130050206498143,7
1636130050206657313,7
1636130050206798385,7
1636130050206926801,7
1636130050207030700,7
1636130050207176101,7
1636130050207328058,7
1636130050207468755,7
1636130050207598736,7
1636130050207737288,7
1636130050207876205,8
1636130050208011035,8
1636130050208190976,8
1636130050208314944,8
1636130050208451166,8
1636130050208585814,8
1636130050208725852,8
1636130050208858686,8
1636130050208993133,8
1636130050209128603,8
1636130050209278075,8
1636130050209445034,8
1636130050209579774,9
1636130050209715538,9
1636130050209849161,9
1636130050209987691,9
1636130050210122094,9
1636130050210260586,9
1636130050210389677,9
1636130050210515164,9
1636130050210652840,9
1636130050210788847,9
1636130050210927270,9
1636130050211062131,9
1636130050211201175,10
1636130050211339815,10
1636130050211474887,10
1636130050211609240,10
1636130050211742209,10
1636130050211881014,10
1636130050212015263,10
1636130050212165891,10
1636130050212293779,10
1636130050212417557,10
1636130050212536991,10
1636130050212668397,10
1636130050212804829,11
1636130050212939885,11
1636130050213074593,11
1636130050213208285,11
1636130050213342776,11
1636130050213468467,11
1636130050213600035,11
1636130050213727406,11
1636130050213858094,11
1636130050213994976,11
1636130050214134939,11
1636130050214272606,11
1636130050214410314,12
1636130050214550257,12
1636130050214690545,12
1636130050214835466,12
1636130050215099087,12
1636130050215241243,12
1636130050215375142,12
1636130050215516273,12
1636130050215654760,12
1636130050215788375,12
1636130050215924597,12
1636130050216083963,12
1636130050216199860,13
1636130050216314178,13
1636130050216451614,13
1636130050216576555,13
1636130050216715959,13
1636130050216852982,13
1636130050216992318,13
1636130050217123041,13
1636130050217256926,13
1636130050217421270,13
1636130050217566721,13
1636130050217700643,13
1636130050217839178,14
1636130050217969927,14
1636130050218110966,14
1636130050218245160,14
1636130050218382938,14
1636130050218520097,14
1636130050218658704,14
1636130050218795607,14
1636130050218932706,14
1636130050219074012,14
1636130050219210282,14
1636130050219344909,14
1636130050219478906,15
1636130050219617875,15
1636130050219757344,15
1636130050219895754,15
1636130050220035548,15
1636130050220185558,15
1636130050220321896,15
1636130050220429028,15
1636130050220559063,15
1636130050220697436,15
1636130050220829874,15
1636130050220970475,15
1636130050221104793,16
1636130050221215638,16
1636130050221346325,16
1636130050221459829,16
1636130050221569215,16
1636130050221706622,16
1636130050221846305,16
1636130050221977694,16
1636130050222108113,16
1636130050222233925,16
1636130050222370606,16
1636130050222498367,16
