%time,field.data
1637942411991467676,SP2
1637942411992026449,SP3
1637942411992380671,SP4
1637942411992675421,SP5
1637942411993083775,SP6
1637942411993422759,SP7
1637942411993781350,SP8
1637942411994146798,SP9
1637942411994504629,SP10
1637942411994845068,SP11
1637942411995196740,SP12
1637942411995547458,1
1637942411995957840,2
1637942411996228974,3
1637942411996509332,4
1637942411996803688,5
1637942411997094925,6
1637942411997388906,7
1637942411997700015,8
1637942411997986389,9
1637942411998267795,10
1637942411998567750,11
1637942411998860492,12
1637942411999168530,13
1637942411999452333,14
1637942411999747517,15
1637942412000054403,16
1637942412000344435,SP1
1637942412000631344,SP3
1637942412000916765,SP4
1637942412001176502,SP5
1637942412001403340,SP6
1637942412001636695,SP7
1637942412001874948,SP8
1637942412002118171,SP9
1637942412002318639,SP10
1637942412002549847,SP11
1637942412002760185,SP12
1637942412003013274,1
1637942412003236953,2
1637942412003516198,3
1637942412003756985,4
1637942412004009411,5
1637942412004264827,6
1637942412004480618,7
1637942412004730061,8
1637942412004947224,9
1637942412005181816,10
1637942412005419613,11
1637942412005654082,12
1637942412005862128,13
1637942412006057963,14
1637942412006245659,15
1637942412006431159,16
1637942412006629833,SP1
1637942412006819266,SP2
1637942412006997226,SP4
1637942412007201938,SP5
1637942412007399162,SP6
1637942412007605591,SP7
1637942412007821855,SP8
1637942412008021932,SP9
1637942412008211516,SP10
1637942412008366963,SP11
1637942412008522951,SP12
1637942412008689569,1
1637942412008874783,2
1637942412009085028,3
1637942412009288336,4
1637942412009467395,5
1637942412009674344,6
1637942412009868078,7
1637942412010083552,8
1637942412010289479,9
1637942412010484142,10
1637942412010679181,11
1637942412010891942,12
1637942412011069404,13
1637942412011250667,14
1637942412011432361,15
1637942412011588365,16
1637942412011770466,SP1
1637942412011973577,SP2
1637942412012152925,SP3
1637942412012332910,SP5
1637942412012497231,SP6
1637942412012672310,SP7
1637942412012838486,SP8
1637942412013019760,SP9
1637942412013189272,SP10
1637942412013366857,SP11
1637942412013552621,SP12
1637942412013731678,1
1637942412013918250,2
1637942412014093175,3
1637942412014277539,4
1637942412014453954,5
1637942412014626046,6
1637942412014797768,7
1637942412014972717,8
1637942412015144240,9
1637942412015323564,10
1637942412015472547,11
1637942412015650131,12
1637942412015833425,13
1637942412016018503,14
1637942412016171990,15
1637942412016319192,16
1637942412016480016,SP1
1637942412016634263,SP2
1637942412016794296,SP3
1637942412016951687,SP4
1637942412017073454,SP6
1637942412017210424,SP7
1637942412017362939,SP8
1637942412017494018,SP9
1637942412017643425,SP10
1637942412017803729,SP11
1637942412017968331,SP12
1637942412018089107,1
1637942412018228025,2
1637942412018357441,3
1637942412018481732,4
1637942412018611963,5
1637942412018742025,6
1637942412018873391,7
1637942412019006182,8
1637942412019151598,9
1637942412019308529,10
1637942412019429653,11
1637942412019551252,12
1637942412019685885,13
1637942412019824935,14
1637942412019961881,15
1637942412020097502,16
1637942412020231495,SP1
1637942412020498043,SP2
1637942412020633104,SP3
1637942412020770674,SP4
1637942412020893010,SP5
1637942412021011837,SP7
1637942412021158153,SP8
1637942412021288213,SP9
1637942412021420748,SP10
1637942412021540864,SP11
1637942412021670111,SP12
1637942412021802585,1
1637942412021940165,2
1637942412022083500,3
1637942412022221226,4
1637942412022347322,5
1637942412022475878,6
1637942412022606333,7
1637942412022743297,8
1637942412022883761,9
1637942412023021313,10
1637942412023159206,11
1637942412023272993,12
1637942412023405660,13
1637942412023541286,14
1637942412023663662,15
1637942412023803113,16
1637942412023941160,SP1
1637942412024055980,SP2
1637942412024167091,SP3
1637942412024300727,SP4
1637942412024431101,SP5
1637942412024549148,SP6
1637942412024693474,SP8
1637942412024822359,SP9
1637942412024958255,SP10
1637942412025094249,SP11
1637942412025226226,SP12
1637942412025358556,1
1637942412025489627,2
1637942412025616375,3
1637942412025746169,4
1637942412025877562,5
1637942412026006967,6
1637942412026137173,7
1637942412026271340,8
1637942412026397456,9
1637942412026519899,10
1637942412026649992,11
1637942412026781716,12
1637942412026908525,13
1637942412027035884,14
1637942412027168537,15
1637942412027326457,16
1637942412027445032,SP1
1637942412027567711,SP2
1637942412027697044,SP3
1637942412027831557,SP4
1637942412027949512,SP5
1637942412037487419,SP6
1637942412037630417,SP7
1637942412037747413,SP9
1637942412037864842,SP10
1637942412037997352,SP11
1637942412038104848,SP12
1637942412038231625,1
1637942412038348115,2
1637942412038471511,3
1637942412038610025,4
1637942412038722856,5
1637942412038835330,6
1637942412038960007,7
1637942412039103276,8
1637942412039235042,9
1637942412039361202,10
1637942412039477534,11
1637942412039610497,12
1637942412039747499,13
1637942412039899339,14
1637942412040026154,15
1637942412040157655,16
1637942412040275660,SP1
1637942412040407755,SP2
1637942412040522935,SP3
1637942412040644067,SP4
1637942412040777063,SP5
1637942412040892465,SP6
1637942412041021138,SP7
1637942412041135494,SP8
1637942412041270238,SP10
1637942412041398406,SP11
1637942412041532417,SP12
1637942412041663643,1
1637942412041806966,2
1637942412041944593,3
1637942412042080667,4
1637942412042218809,5
1637942412042351208,6
1637942412042474679,7
1637942412042608857,8
1637942412042737487,9
1637942412042869442,10
1637942412043004497,11
1637942412043133167,12
1637942412043292049,13
1637942412043430589,14
1637942412043562008,15
1637942412043695723,16
1637942412043844569,SP1
1637942412043977508,SP2
1637942412044108074,SP3
1637942412044228522,SP4
1637942412044359811,SP5
1637942412044490320,SP6
1637942412044619241,SP7
1637942412044750686,SP8
1637942412044882351,SP9
1637942412045015611,SP11
1637942412045150704,SP12
1637942412045284418,1
1637942412045421343,2
1637942412045550638,3
1637942412045686447,4
1637942412045821194,5
1637942412045950108,6
1637942412046080293,7
1637942412046214384,8
1637942412046353398,9
1637942412046483745,10
1637942412046611958,11
1637942412046743757,12
1637942412046874174,13
1637942412047006973,14
1637942412047136859,15
1637942412047266386,16
1637942412047398349,SP1
1637942412047532649,SP2
1637942412047661971,SP3
1637942412047801366,SP4
1637942412047935784,SP5
1637942412048067994,SP6
1637942412048197635,SP7
1637942412048589446,SP8
1637942412048715452,SP9
1637942412048862474,SP10
1637942412048995972,SP12
1637942412049121875,1
1637942412049258400,2
1637942412049392997,3
1637942412049520112,4
1637942412049657125,5
1637942412049791030,6
1637942412049928074,7
1637942412050060281,8
1637942412050751687,9
1637942412050888906,10
1637942412051018888,11
1637942412051149762,12
1637942412051285182,13
1637942412051440034,14
1637942412051576886,15
1637942412051694960,16
1637942412051840031,SP1
1637942412051973871,SP2
1637942412052107125,SP3
1637942412052235181,SP4
1637942412052357097,SP5
1637942412052463366,SP6
1637942412052602187,SP7
1637942412052736981,SP8
1637942412052864935,SP9
1637942412052970899,SP10
1637942412053100726,SP11
1637942412053220214,1
1637942412053357691,2
1637942412053482773,3
1637942412053589853,4
1637942412053720017,5
1637942412053844144,6
1637942412053963177,7
1637942412054094639,8
1637942412054227674,9
1637942412054349471,10
1637942412054479917,11
1637942412054609696,12
1637942412054737399,13
1637942412054858661,14
1637942412054984780,15
1637942412055097824,16
1637942412055227927,SP1
1637942412055345596,SP2
1637942412055479291,SP3
1637942412055612739,SP4
1637942412055753360,SP5
1637942412055894365,SP6
1637942412056036310,SP7
1637942412056166343,SP8
1637942412056302443,SP9
1637942412056441552,SP10
1637942412056583772,SP11
1637942412056719514,SP12
1637942412056858782,2
1637942412056996484,3
1637942412057126808,4
1637942412057260878,5
1637942412057399926,6
1637942412057543147,7
1637942412057682043,8
1637942412057815588,9
1637942412057945270,10
1637942412058078076,11
1637942412058214421,12
1637942412058349798,13
1637942412058484762,14
1637942412058622046,15
1637942412058760710,16
1637942412058895925,SP1
1637942412059024201,SP2
1637942412059169716,SP3
1637942412059315554,SP4
1637942412059452010,SP5
1637942412059588794,SP6
1637942412059727257,SP7
1637942412059867764,SP8
1637942412060000601,SP9
1637942412060138820,SP10
1637942412060279690,SP11
1637942412060409877,SP12
1637942412060547780,1
1637942412060679914,3
1637942412060809882,4
1637942412060943713,5
1637942412061074776,6
1637942412061207728,7
1637942412061332530,8
1637942412061458935,9
1637942412061589351,10
1637942412061722406,11
1637942412061857324,12
1637942412061981874,13
1637942412062110787,14
1637942412062217404,15
1637942412062352329,16
1637942412062485688,SP1
1637942412062615883,SP2
1637942412062746985,SP3
1637942412062877902,SP4
1637942412063012117,SP5
1637942412063146902,SP6
1637942412063279841,SP7
1637942412063409863,SP8
1637942412063542773,SP9
1637942412063673630,SP10
1637942412063809995,SP11
1637942412063942000,SP12
1637942412064079944,1
1637942412064207055,2
1637942412064325733,4
1637942412064453167,5
1637942412064567046,6
1637942412064699181,7
1637942412064833266,8
1637942412064958363,9
1637942412065087707,10
1637942412065217248,11
