%time,field.data
1637942411991379277,SP1
1637942411991984828,SP1
1637942411992352146,SP1
1637942411992640707,SP1
1637942411993045657,SP1
1637942411993387106,SP1
1637942411993749835,SP1
1637942411994108406,SP1
1637942411994469467,SP1
1637942411994808039,SP1
1637942411995167552,SP1
1637942411995488261,SP1
1637942411995925392,SP1
1637942411996203819,SP1
1637942411996483980,SP1
1637942411996775103,SP1
1637942411997065699,SP1
1637942411997359336,SP1
1637942411997664331,SP1
1637942411997960593,SP1
1637942411998242552,SP1
1637942411998538138,SP1
1637942411998830843,SP1
1637942411999138416,SP1
1637942411999427137,SP1
1637942411999721628,SP1
1637942412000024052,SP1
1637942412000318202,SP2
1637942412000606084,SP2
1637942412000895222,SP2
1637942412001147024,SP2
1637942412001381152,SP2
1637942412001612017,SP2
1637942412001853282,SP2
1637942412002093659,SP2
1637942412002298194,SP2
1637942412002526422,SP2
1637942412002738259,SP2
1637942412002988461,SP2
1637942412003214804,SP2
1637942412003490242,SP2
1637942412003735049,SP2
1637942412003988012,SP2
1637942412004243208,SP2
1637942412004456995,SP2
1637942412004706004,SP2
1637942412004927827,SP2
1637942412005157217,SP2
1637942412005399166,SP2
1637942412005629511,SP2
1637942412005843067,SP2
1637942412006039366,SP2
1637942412006227568,SP2
1637942412006414573,SP2
1637942412006607268,SP3
1637942412006800667,SP3
1637942412006977282,SP3
1637942412007183342,SP3
1637942412007378608,SP3
1637942412007584617,SP3
1637942412007801089,SP3
1637942412008001836,SP3
1637942412008195869,SP3
1637942412008351359,SP3
1637942412008504875,SP3
1637942412008673440,SP3
1637942412008856523,SP3
1637942412009063886,SP3
1637942412009270250,SP3
1637942412009446804,SP3
1637942412009656886,SP3
1637942412009846898,SP3
1637942412010063114,SP3
1637942412010268473,SP3
1637942412010465518,SP3
1637942412010661261,SP3
1637942412010871768,SP3
1637942412011053006,SP3
1637942412011229290,SP3
1637942412011415118,SP3
1637942412011572897,SP3
1637942412011751781,SP4
1637942412011953363,SP4
1637942412012137269,SP4
1637942412012317498,SP4
1637942412012478926,SP4
1637942412012657094,SP4
1637942412012820039,SP4
1637942412013002123,SP4
1637942412013173818,SP4
1637942412013351376,SP4
1637942412013534865,SP4
1637942412013713593,SP4
1637942412013901360,SP4
1637942412014073766,SP4
1637942412014259231,SP4
1637942412014434813,SP4
1637942412014610064,SP4
1637942412014781402,SP4
1637942412014956852,SP4
1637942412015127867,SP4
1637942412015305500,SP4
1637942412015457846,SP4
1637942412015635129,SP4
1637942412015817446,SP4
1637942412016002560,SP4
1637942412016156442,SP4
1637942412016305635,SP4
