%time,field.data
1637750708858249610,SP2
1637750708859401653,SP3
1637750708860271881,SP4
1637750708861151193,SP5
1637750708861988432,SP6
1637750708862741335,SP7
1637750708863461041,SP8
1637750708864304682,SP9
1637750708865061723,SP10
1637750708865776119,SP11
1637750708866468920,SP12
1637750708867061736,SP1
1637750708867596450,SP3
1637750708868194115,SP4
1637750708868749831,SP5
1637750708869521610,SP6
1637750708870027780,SP7
1637750708870522873,SP8
1637750708870986542,SP9
1637750708871496496,SP10
1637750708871956992,SP11
1637750708872311686,SP12
1637750708872675827,SP1
1637750708873020407,SP2
1637750708873371217,SP4
1637750708873707699,SP5
1637750708874075301,SP6
1637750708874451280,SP7
1637750708874818802,SP8
1637750708875157459,SP9
1637750708875542309,SP10
1637750708875944014,SP11
1637750708876353185,SP12
1637750708876754844,SP1
1637750708877078546,SP2
1637750708877371550,SP3
1637750708877676964,SP5
1637750708877972735,SP6
1637750708878276808,SP7
1637750708878568205,SP8
1637750708878869640,SP9
1637750708879148860,SP10
1637750708879424696,SP11
1637750708879725052,SP12
1637750708880039899,SP1
1637750708880320262,SP2
1637750708880621973,SP3
1637750708880901446,SP4
1637750708881190181,SP6
1637750708881502605,SP7
1637750708881799486,SP8
1637750708882037605,SP9
1637750708882280460,SP10
1637750708882514144,SP11
1637750708882776101,SP12
1637750708883007487,SP1
1637750708883272487,SP2
1637750708883531325,SP3
1637750708883773430,SP4
1637750708884071892,SP5
1637750708884304308,SP7
1637750708884582704,SP8
1637750708884829681,SP9
1637750708885076231,SP10
1637750708885320387,SP11
1637750708885568230,SP12
1637750708885812523,SP1
1637750708886062784,SP2
1637750708886272993,SP3
1637750708886494136,SP4
1637750708886732754,SP5
1637750708886954622,SP6
1637750708887172411,SP8
1637750708887381354,SP9
1637750708887583524,SP10
1637750708887823717,SP11
1637750708888036906,SP12
1637750708888243987,SP1
1637750708888454628,SP2
1637750708888663142,SP3
1637750708888865155,SP4
1637750708889051845,SP5
1637750708889247377,SP6
1637750708889451764,SP7
1637750708889651280,SP9
1637750708889862237,SP10
1637750708890078301,SP11
1637750708890286179,SP12
1637750708890500663,SP1
1637750708890722759,SP2
1637750708890936151,SP3
1637750708891152647,SP4
1637750708891361599,SP5
1637750708891572704,SP6
1637750708891780864,SP7
1637750708892028745,SP8
1637750708892188578,SP10
1637750708892377092,SP11
1637750708892570540,SP12
1637750708892762563,SP1
1637750708892951572,SP2
1637750708893123159,SP3
1637750708893313972,SP4
1637750708893492290,SP5
1637750708893664621,SP6
1637750708893852395,SP7
1637750708894041326,SP8
1637750708894227895,SP9
1637750708894413796,SP11
1637750708894596807,SP12
1637750708894781690,SP1
1637750708894924007,SP2
1637750708895064645,SP3
1637750708895201685,SP4
1637750708895343099,SP5
1637750708895485280,SP6
1637750708895626546,SP7
1637750708895767591,SP8
1637750708895903546,SP9
1637750708896028186,SP10
1637750708896166079,SP12
1637750708896298805,SP1
1637750708896440688,SP2
1637750708896578308,SP3
1637750708896709227,SP4
1637750708896844019,SP5
1637750708896982035,SP6
1637750708897103767,SP7
1637750708897245361,SP8
1637750708897377776,SP9
1637750708897514209,SP10
1637750708897653407,SP11
1637750708897790492,SP1
1637750708897928482,SP2
1637750708898064699,SP3
1637750708898203448,SP4
1637750708898475553,SP5
1637750708898632025,SP6
1637750708898785081,SP7
1637750708898924579,SP8
1637750708899086595,SP9
1637750708899233112,SP10
1637750708899379223,SP11
1637750708899521236,SP12
1637750708899672628,SP1
1637750708899824603,SP2
1637750708899969357,SP3
1637750708900117500,SP4
1637750708900260818,SP5
1637750708900402379,SP6
1637750708900543078,SP7
1637750708900676594,SP8
1637750708900817604,SP9
1637750708900960347,SP10
1637750708901106937,SP11
1637750708901247293,SP12
1637750708901385848,SP1
1637750708901520563,SP2
1637750708901654896,SP3
1637750708901791229,SP4
1637750708901927207,SP5
1637750708902060606,SP6
1637750708902195962,SP7
1637750708902326143,SP8
1637750708902460090,SP9
1637750708902594572,SP10
1637750708902735569,SP11
1637750708902872633,SP12
1637750708903014795,SP1
1637750708903155021,SP2
1637750708903294237,SP3
1637750708903399601,SP4
1637750708903524491,SP5
1637750708903656297,SP6
1637750708903805477,SP7
1637750708903944789,SP8
1637750708904084276,SP9
1637750708904226584,SP10
1637750708904362168,SP11
1637750708904501180,SP12
1637750708904640021,SP1
1637750708904780280,SP2
1637750708904915797,SP3
1637750708905057411,SP4
1637750708905192673,SP5
1637750708905330739,SP6
1637750708905463192,SP7
1637750708905609670,SP8
1637750708905751741,SP9
1637750708905871172,SP10
1637750708906009705,SP11
1637750708906148962,SP12
1637750708906280810,SP1
1637750708906417355,SP2
1637750708906557920,SP3
1637750708906694097,SP4
1637750708906822724,SP5
1637750708906963591,SP6
1637750708907091462,SP7
1637750708907224821,SP8
1637750708907364210,SP9
1637750708907490740,SP10
1637750708907623850,SP11
1637750708907763438,SP12
1637750708907917121,SP1
1637750708908068994,SP2
1637750708908217916,SP3
1637750708908346103,SP4
1637750708908474248,SP5
1637750708908600197,SP6
1637750708908729807,SP7
1637750708908869365,SP8
1637750708909004886,SP9
1637750708909120898,SP10
1637750708915701734,SP11
1637750708915869580,SP12
1637750708916022646,SP1
1637750708916165129,SP2
1637750708916290943,SP3
1637750708916418586,SP4
1637750708916559128,SP5
1637750708916702284,SP6
1637750708916842542,SP7
1637750708916964427,SP8
1637750708917105381,SP9
1637750708917247657,SP10
1637750708917381451,SP11
1637750708917513692,SP12
1637750708917656186,SP1
1637750708917789993,SP2
1637750708917916658,SP3
1637750708918051200,SP4
1637750708918184754,SP5
1637750708918308939,SP6
1637750708918451007,SP7
1637750708918583160,SP8
1637750708918708462,SP9
1637750708918848171,SP10
1637750708918978335,SP11
1637750708919096394,SP12
1637750708919222114,SP1
1637750708919353678,SP2
1637750708919474476,SP3
1637750708919571674,SP4
1637750708919681581,SP5
1637750708919833972,SP6
1637750708919968601,SP7
1637750708920106867,SP8
1637750708920234690,SP9
1637750708920369883,SP10
1637750708920497199,SP11
1637750708920633224,SP12
1637750708920771952,SP1
1637750708920910095,SP2
1637750708921046947,SP3
1637750708921148008,SP4
1637750708921270843,SP5
1637750708921402474,SP6
1637750708921540088,SP7
1637750708921674355,SP8
1637750708921809635,SP9
1637750708921945323,SP10
1637750708922080112,SP11
1637750708922217997,SP12
1637750708922351916,SP1
1637750708922492137,SP2
1637750708922633107,SP3
1637750708922769690,SP4
1637750708922906266,SP5
1637750708923036878,SP6
1637750708923178375,SP7
1637750708923312317,SP8
1637750708923706109,SP9
1637750708923866616,SP10
1637750708924039959,SP11
1637750708924212749,SP12
1637750708924371310,SP1
1637750708924535432,SP2
1637750708924688449,SP3
1637750708924855143,SP4
1637750708925028091,SP5
1637750708925183112,SP6
1637750708925328791,SP7
1637750708925463579,SP8
1637750708925605741,SP9
1637750708925748809,SP10
1637750708926469914,SP11
1637750708926638960,SP12
1637750708926790185,SP1
1637750708926938661,SP2
1637750708927091754,SP3
1637750708927255996,SP4
1637750708927424771,SP5
1637750708927590003,SP6
1637750708927754914,SP7
1637750708927925966,SP8
1637750708928068610,SP9
1637750708928210405,SP10
1637750708928352833,SP11
1637750708928508262,SP12
1637750708928653086,SP1
1637750708928808997,SP2
1637750708928972212,SP3
1637750708929133515,SP4
1637750708929293295,SP5
1637750708929446676,SP6
1637750708929599271,SP7
1637750708929738961,SP8
1637750708929888029,SP9
1637750708930040664,SP10
1637750708930183048,SP11
1637750708930330672,SP12
1637750708930475871,SP1
1637750708930633858,SP2
1637750708930795424,SP3
1637750708930948835,SP4
1637750708931117037,SP5
1637750708931268126,SP6
1637750708931417015,SP7
1637750708931568973,SP8
1637750708931721102,SP9
1637750708931887121,SP10
1637750708932069847,SP11
1637750708932205533,SP12
