%time,field.data
1636376082271206369,SP2
1636376082271811575,SP3
1636376082272183544,SP4
1636376082272561083,SP5
1636376082272953070,SP6
1636376082273291559,SP7
1636376082273637784,SP8
1636376082274029575,SP9
1636376082274441910,SP10
1636376082274882102,SP11
1636376082275327925,SP12
1636376082275776923,1
1636376082276185630,2
1636376082276601143,3
1636376082276890839,4
1636376082277186352,5
1636376082277486977,6
1636376082277778875,7
1636376082278101102,8
1636376082278345202,9
1636376082278578505,10
1636376082278818043,11
1636376082279058638,12
1636376082279263028,13
1636376082279495387,14
1636376082279755289,15
1636376082279990489,16
1636376082280210166,SP1
1636376082280441677,SP3
1636376082280675029,SP4
1636376082280918787,SP5
1636376082281158244,SP6
1636376082281402554,SP7
1636376082281636849,SP8
1636376082281868974,SP9
1636376082282117456,SP10
1636376082282365614,SP11
1636376082282605700,SP12
1636376082282812315,1
1636376082283067852,2
1636376082283268024,3
1636376082283463584,4
1636376082283718738,5
1636376082283918872,6
1636376082284126541,7
1636376082284334839,8
1636376082284538836,9
1636376082284755303,10
1636376082284957796,11
1636376082285138752,12
1636376082285340495,13
1636376082285524104,14
1636376082285733242,15
1636376082285939107,16
1636376082286150459,SP1
1636376082286330259,SP2
1636376082286531172,SP4
1636376082286730149,SP5
1636376082286930999,SP6
1636376082287122990,SP7
1636376082287329906,SP8
1636376082287525864,SP9
1636376082287752982,SP10
1636376082287964167,SP11
1636376082288175751,SP12
1636376082288353873,1
1636376082288535163,2
1636376082288713757,3
1636376082288891256,4
1636376082289069232,5
1636376082289260251,6
1636376082289435812,7
1636376082289596681,8
1636376082289777061,9
1636376082289920464,10
1636376082290083777,11
1636376082290262576,12
1636376082290445835,13
1636376082290622039,14
1636376082290799145,15
1636376082290976592,16
1636376082291154271,SP1
1636376082291341593,SP2
1636376082291549110,SP3
1636376082291771899,SP5
1636376082291952522,SP6
1636376082292134782,SP7
1636376082292288531,SP8
1636376082292425433,SP9
1636376082292551505,SP10
1636376082292684381,SP11
1636376082292816840,SP12
1636376082292936775,1
1636376082293079438,2
1636376082293214104,3
1636376082293345984,4
1636376082293474364,5
1636376082293605794,6
1636376082293738491,7
1636376082293869995,8
1636376082294003358,9
1636376082294136211,10
1636376082294269316,11
1636376082294399774,12
1636376082294530751,13
1636376082294666276,14
1636376082294788516,15
1636376082294908849,16
1636376082295043324,SP1
1636376082295175673,SP2
1636376082295308810,SP3
1636376082295440704,SP4
1636376082295577341,SP6
1636376082295711845,SP7
1636376082295845523,SP8
1636376082295979564,SP9
