%time,field.data
1636379998325002599,SP1
1636379998326210042,SP1
1636379998326922414,SP1
1636379998327443352,SP1
1636379998328046364,SP1
1636379998328580114,SP1
1636379998329678009,SP1
1636379998331027466,SP1
1636379998331640268,SP1
1636379998332147907,SP1
1636379998332509878,SP1
1636379998332941637,SP1
1636379998333333153,SP1
1636379998333687594,SP1
1636379998334102941,SP1
1636379998334515785,SP1
1636379998334904558,SP2
1636379998335290024,SP2
1636379998335718108,SP2
1636379998336105897,SP2
1636379998336506560,SP2
1636379998336926445,SP2
1636379998337264924,SP2
1636379998337545991,SP2
1636379998337829640,SP2
1636379998338106832,SP2
1636379998338421947,SP2
1636379998338781718,SP2
1636379998339091755,SP2
1636379998339349854,SP2
1636379998339679510,SP2
1636379998339974736,SP2
1636379998340280487,SP3
1636379998340569721,SP3
1636379998340877721,SP3
1636379998341190755,SP3
1636379998341497691,SP3
1636379998341821556,SP3
1636379998342110705,SP3
1636379998342390425,SP3
1636379998342616183,SP3
1636379998342892082,SP3
1636379998343145506,SP3
1636379998343404579,SP3
1636379998343704415,SP3
1636379998343979158,SP3
1636379998344253182,SP3
1636379998344528253,SP3
1636379998344794826,SP4
1636379998345036006,SP4
1636379998345313996,SP4
1636379998345558242,SP4
1636379998345843873,SP4
1636379998346106772,SP4
1636379998346371659,SP4
1636379998346669600,SP4
1636379998346923754,SP4
1636379998347162008,SP4
1636379998347372511,SP4
1636379998347727308,SP4
1636379998347923086,SP4
1636379998348122848,SP4
1636379998348323433,SP4
1636379998348498941,SP4
1636379998348704316,SP5
1636379998348919991,SP5
1636379998349132987,SP5
1636379998349311041,SP5
1636379998349908648,SP5
1636379998350219676,SP5
1636379998350435274,SP5
1636379998350622615,SP5
1636379998350832083,SP5
1636379998351022026,SP5
1636379998351230991,SP5
1636379998351744336,SP5
1636379998352013254,SP5
1636379998352181916,SP5
1636379998352320766,SP5
1636379998352456733,SP5
1636379998352591308,SP6
1636379998352732841,SP6
1636379998352871094,SP6
1636379998353005924,SP6
1636379998353142766,SP6
1636379998353274457,SP6
1636379998353407437,SP6
1636379998353537146,SP6
1636379998353669725,SP6
1636379998353806893,SP6
1636379998353945334,SP6
1636379998354080563,SP6
1636379998354218564,SP6
1636379998354377054,SP6
1636379998354488375,SP6
1636379998354632524,SP6
1636379998354770602,SP7
1636379998354910095,SP7
1636379998355023202,SP7
1636379998355158254,SP7
1636379998355291893,SP7
1636379998355430626,SP7
1636379998355608077,SP7
1636379998355751381,SP7
1636379998355884912,SP7
1636379998356020112,SP7
1636379998356151409,SP7
1636379998356286474,SP7
1636379998356423522,SP7
1636379998356529429,SP7
1636379998356661468,SP7
1636379998356783086,SP7
1636379998356913311,SP8
1636379998357036352,SP8
1636379998357171112,SP8
1636379998357298834,SP8
1636379998357432329,SP8
1636379998357565745,SP8
1636379998357699931,SP8
1636379998357836056,SP8
1636379998357970507,SP8
1636379998358101375,SP8
1636379998358233881,SP8
1636379998358367556,SP8
1636379998358502988,SP8
1636379998358633254,SP8
1636379998358765121,SP8
1636379998358903479,SP8
1636379998359043436,SP9
1636379998359182616,SP9
1636379998359320141,SP9
1636379998359456574,SP9
1636379998359601164,SP9
1636379998359737950,SP9
1636379998359870902,SP9
