%time,field.data
1636376082271120307,SP1
1636376082271776220,SP1
1636376082272148725,SP1
1636376082272522537,SP1
1636376082272915363,SP1
1636376082273261644,SP1
1636376082273599235,SP1
1636376082273986442,SP1
1636376082274393340,SP1
1636376082274835955,SP1
1636376082275285671,SP1
1636376082275730276,SP1
1636376082276145111,SP1
1636376082276564433,SP1
1636376082276864989,SP1
1636376082277155526,SP1
1636376082277457011,SP1
1636376082277751889,SP1
1636376082278051196,SP1
1636376082278323024,SP1
1636376082278554930,SP1
1636376082278795852,SP1
1636376082279035244,SP1
1636376082279239376,SP1
1636376082279474610,SP1
1636376082279730899,SP1
1636376082279970871,SP1
1636376082280186551,SP2
1636376082280420615,SP2
1636376082280651829,SP2
1636376082280896317,SP2
1636376082281137919,SP2
1636376082281377631,SP2
1636376082281613518,SP2
1636376082281846974,SP2
1636376082282092743,SP2
1636376082282339898,SP2
1636376082282584592,SP2
1636376082282788647,SP2
1636376082283029919,SP2
1636376082283249199,SP2
1636376082283445481,SP2
1636376082283698348,SP2
1636376082283897512,SP2
1636376082284108322,SP2
1636376082284313494,SP2
1636376082284519780,SP2
1636376082284737451,SP2
1636376082284939791,SP2
1636376082285117188,SP2
1636376082285321807,SP2
1636376082285505471,SP2
1636376082285712460,SP2
1636376082285919964,SP2
1636376082286129492,SP3
1636376082286312389,SP3
1636376082286513826,SP3
1636376082286713245,SP3
1636376082286914089,SP3
1636376082287101909,SP3
1636376082287309890,SP3
1636376082287507230,SP3
1636376082287731470,SP3
1636376082287944951,SP3
1636376082288157860,SP3
1636376082288333753,SP3
1636376082288519426,SP3
1636376082288695359,SP3
1636376082288875748,SP3
1636376082289050823,SP3
1636376082289241510,SP3
1636376082289419736,SP3
1636376082289580097,SP3
1636376082289759710,SP3
1636376082289906621,SP3
1636376082290067746,SP3
1636376082290247285,SP3
1636376082290427369,SP3
1636376082290606368,SP3
1636376082290781547,SP3
1636376082290959884,SP3
1636376082291135766,SP4
1636376082291321617,SP4
1636376082291527217,SP4
1636376082291754972,SP4
1636376082291933570,SP4
1636376082292118189,SP4
1636376082292274613,SP4
1636376082292411923,SP4
1636376082292540392,SP4
1636376082292673052,SP4
1636376082292805066,SP4
1636376082292923090,SP4
1636376082293066019,SP4
1636376082293201055,SP4
1636376082293333686,SP4
1636376082293462316,SP4
1636376082293591459,SP4
1636376082293726060,SP4
1636376082293856892,SP4
1636376082293989642,SP4
1636376082294123813,SP4
1636376082294257107,SP4
1636376082294388462,SP4
1636376082294518615,SP4
1636376082294653021,SP4
1636376082294777677,SP4
1636376082294895747,SP4
1636376082295029934,SP5
1636376082295163707,SP5
1636376082295297136,SP5
1636376082295427032,SP5
1636376082295562057,SP5
1636376082295698579,SP5
1636376082295830704,SP5
1636376082295966800,SP5
1636376082296098092,SP5
1636376082296230483,SP5
1636376082296352503,SP5
1636376082296485062,SP5
1636376082296628228,SP5
1636376082296766760,SP5
1636376082296904133,SP5
1636376082297035460,SP5
1636376082297167448,SP5
1636376082297299145,SP5
1636376082297435575,SP5
1636376082297565968,SP5
1636376082297702207,SP5
1636376082297834797,SP5
1636376082297967922,SP5
1636376082298099022,SP5
1636376082298233198,SP5
1636376082298368620,SP5
1636376082298501239,SP5
1636376082298633057,SP6
1636376082298769358,SP6
1636376082298907220,SP6
1636376082299041661,SP6
1636376082299173029,SP6
1636376082299295761,SP6
1636376082299421701,SP6
1636376082299718648,SP6
1636376082299879465,SP6
1636376082300042989,SP6
1636376082300197368,SP6
1636376082300362035,SP6
1636376082300525785,SP6
1636376082300679338,SP6
1636376082300827912,SP6
1636376082300984094,SP6
1636376082301103407,SP6
1636376082301241968,SP6
1636376082301385354,SP6
1636376082301522430,SP6
1636376082301690086,SP6
1636376082301835790,SP6
1636376082301997288,SP6
1636376082302145972,SP6
1636376082302305251,SP6
1636376082302468455,SP6
1636376082302627426,SP6
1636376082302783251,SP7
1636376082302900934,SP7
1636376082303039417,SP7
1636376082303186706,SP7
1636376082303347355,SP7
1636376082303486148,SP7
1636376082303648858,SP7
1636376082303810624,SP7
1636376082303965831,SP7
1636376082304101953,SP7
1636376082304226294,SP7
1636376082304349227,SP7
1636376082304475576,SP7
1636376082304622883,SP7
1636376082304762394,SP7
1636376082304900794,SP7
1636376082305027549,SP7
1636376082305162104,SP7
1636376082305297263,SP7
1636376082305431276,SP7
1636376082305545852,SP7
1636376082305674310,SP7
1636376082305827038,SP7
1636376082305988158,SP7
1636376082306143773,SP7
1636376082306309791,SP7
1636376082306462236,SP7
1636376082306636352,SP8
1636376082306789330,SP8
1636376082306966578,SP8
1636376082307147133,SP8
1636376082307330179,SP8
1636376082312675516,SP8
1636376082312806677,SP8
1636376082312939642,SP8
1636376082313056127,SP8
1636376082313196472,SP8
1636376082313333756,SP8
1636376082313459959,SP8
1636376082313586210,SP8
1636376082313709254,SP8
1636376082313835296,SP8
1636376082313953416,SP8
1636376082314078878,SP8
1636376082314220456,SP8
1636376082314357668,SP8
1636376082314482262,SP8
1636376082314590544,SP8
1636376082314723486,SP8
1636376082314857381,SP8
1636376082314993679,SP8
1636376082315125709,SP8
1636376082315255702,SP8
1636376082315391801,SP8
1636376082315536353,SP9
1636376082315695794,SP9
1636376082315832979,SP9
1636376082315969433,SP9
1636376082316098944,SP9
1636376082316222732,SP9
1636376082316356144,SP9
1636376082316493094,SP9
1636376082316623896,SP9
1636376082316729830,SP9
1636376082316861493,SP9
1636376082316966073,SP9
1636376082317098046,SP9
1636376082317234151,SP9
1636376082317368241,SP9
1636376082317506101,SP9
1636376082317622339,SP9
1636376082317756238,SP9
1636376082317891436,SP9
1636376082318023781,SP9
1636376082318158875,SP9
1636376082318297741,SP9
1636376082318424174,SP9
1636376082318560307,SP9
1636376082318674762,SP9
1636376082318800716,SP9
1636376082318932753,SP9
1636376082319065859,SP10
1636376082319201356,SP10
1636376082319338556,SP10
1636376082319469129,SP10
1636376082319607941,SP10
1636376082319736467,SP10
1636376082319865890,SP10
1636376082319998380,SP10
1636376082320120186,SP10
1636376082320251161,SP10
1636376082320368417,SP10
1636376082320481816,SP10
1636376082320618705,SP10
1636376082320756882,SP10
1636376082320890260,SP10
