%time,field.data
1636379998325171662,1
1636379998326282289,2
1636379998327001725,3
1636379998327495985,4
1636379998328094201,5
1636379998328634406,6
1636379998329740337,7
1636379998331090335,8
1636379998331699718,9
1636379998332180766,10
1636379998332553902,11
1636379998332985358,12
1636379998333364495,13
1636379998333734655,14
1636379998334146582,15
1636379998334562746,16
1636379998334941585,1
1636379998335331006,2
1636379998335759909,3
1636379998336144568,4
1636379998336546451,5
1636379998336964853,6
1636379998337294611,7
1636379998337577356,8
1636379998337856967,9
1636379998338138178,10
1636379998338463437,11
1636379998338819958,12
1636379998339117408,13
1636379998339379511,14
1636379998339713004,15
1636379998340011977,16
1636379998340315501,1
1636379998340594707,2
1636379998340908874,3
1636379998341216918,4
1636379998341525996,5
1636379998341846659,6
1636379998342131587,7
1636379998342417277,8
1636379998342645967,9
1636379998342918935,10
1636379998343166390,11
1636379998343431055,12
1636379998343731215,13
1636379998344007536,14
1636379998344278434,15
1636379998344554771,16
1636379998344820452,1
1636379998345060065,2
1636379998345337394,3
1636379998345587807,4
1636379998345864475,5
1636379998346138418,6
1636379998346406562,7
1636379998346696698,8
1636379998346949210,9
1636379998347183602,10
1636379998347391489,11
1636379998347749917,12
1636379998347940827,13
1636379998348143601,14
1636379998348342133,15
1636379998348519698,16
1636379998348725719,1
1636379998348941704,2
1636379998349153923,3
1636379998349729269,4
1636379998349930139,5
1636379998350238757,6
1636379998350457885,7
1636379998350641732,8
1636379998350853444,9
1636379998351043652,10
1636379998351249512,11
1636379998351766405,12
1636379998352033048,13
1636379998352196500,14
1636379998352334854,15
1636379998352469373,16
1636379998352608494,1
1636379998352746957,2
1636379998352885029,3
1636379998353017938,4
1636379998353155030,5
1636379998353288337,6
1636379998353419237,7
1636379998353549069,8
1636379998353683928,9
1636379998353820982,10
1636379998353959303,11
1636379998354092852,12
1636379998354237803,13
1636379998354388824,14
1636379998354501872,15
1636379998354646617,16
1636379998354786132,1
1636379998354921096,2
1636379998355037566,3
1636379998355169660,4
1636379998355305357,5
1636379998355444628,6
1636379998355621876,7
1636379998355765593,8
1636379998355898297,9
1636379998356032107,10
1636379998356163565,11
1636379998356298733,12
1636379998356437508,13
1636379998356540381,14
1636379998356674936,15
1636379998356794136,16
1636379998356924967,1
1636379998357049751,2
1636379998357182769,3
1636379998357310466,4
1636379998357446173,5
1636379998357578158,6
1636379998357713422,7
1636379998357849674,8
1636379998357984305,9
1636379998358113467,10
1636379998358246114,11
1636379998358381600,12
1636379998358516855,13
1636379998358645364,14
1636379998358777193,15
1636379998358915789,16
1636379998359057529,1
1636379998359196733,2
1636379998359334855,3
1636379998359468523,4
1636379998359614427,5
1636379998359751651,6
1636379998359882638,7
1636379998360015981,8
1636379998360153589,9
1636379998360288010,10
1636379998360423377,11
1636379998360555086,12
1636379998360687682,13
1636379998360798763,14
1636379998360931145,15
1636379998361187944,16
1636379998361319314,1
1636379998361456842,2
1636379998361585238,3
1636379998361721910,4
1636379998361844654,5
1636379998361955618,6
1636379998362089668,7
1636379998362217023,8
1636379998362368400,9
1636379998362497698,10
1636379998362613502,11
1636379998362734621,12
1636379998362865689,13
1636379998363001401,14
1636379998363124305,15
1636379998363242225,16
1636379998363371510,1
1636379998363505820,2
1636379998363653783,3
1636379998363773927,4
1636379998363880573,5
1636379998364018575,6
1636379998364222777,7
1636379998364348372,8
1636379998364455338,9
1636379998364589007,10
1636379998364704335,11
1636379998364850335,12
1636379998364986276,13
1636379998365115962,14
1636379998365244085,15
1636379998365378500,16
1636379998365509382,1
1636379998365648032,2
1636379998365787890,3
1636379998365923078,4
1636379998366060475,5
1636379998366190817,6
1636379998366329348,7
1636379998366466328,8
1636379998366604790,9
1636379998366735613,10
1636379998366870972,11
1636379998367005032,12
1636379998367136187,13
1636379998367272396,14
1636379998367403353,15
1636379998367538267,16
1636379998367672916,2
1636379998367802294,3
1636379998367935887,4
1636379998368074196,5
1636379998368203654,6
1636379998368340636,7
1636379998368476368,8
1636379998368607906,9
1636379998368741850,10
1636379998368873014,11
1636379998369011522,12
1636379998369147404,13
1636379998369298171,14
1636379998369434980,15
1636379998369558347,16
1636379998369679470,1
1636379998369797091,3
1636379998369918421,4
1636379998370050155,5
1636379998370164503,6
1636379998370323081,7
1636379998370446594,8
1636379998370569962,9
1636379998370693830,10
1636379998370824842,11
1636379998370956584,12
1636379998371080957,13
1636379998371197263,14
1636379998371328912,15
1636379998371449223,16
1636379998371586751,1
1636379998371720604,2
1636379998371843030,4
1636379998371967261,5
1636379998372092448,6
1636379998372222612,7
1636379998378787039,8
1636379998378901314,9
1636379998379036817,10
1636379998379178630,11
1636379998379314799,12
1636379998379456718,13
1636379998379615087,14
1636379998379747201,15
1636379998379885146,16
1636379998380024227,1
1636379998380147585,2
1636379998380254694,3
1636379998380393351,5
1636379998380914382,6
1636379998381048058,7
1636379998381181425,8
1636379998381305634,9
1636379998381434985,10
1636379998381565152,11
1636379998381696152,12
1636379998381833659,13
1636379998381963731,14
1636379998382095907,15
1636379998382228609,16
1636379998382349765,1
1636379998382480275,2
1636379998382612700,3
1636379998382722971,4
1636379998382842125,6
1636379998382972748,7
1636379998383100570,8
1636379998383239384,9
1636379998383376051,10
1636379998383504659,11
1636379998383647902,12
1636379998383778753,13
1636379998383900690,14
1636379998384038439,15
1636379998384169315,16
1636379998384306181,1
1636379998384442581,2
1636379998384574534,3
1636379998384700417,4
1636379998384827619,5
1636379998384945704,7
1636379998385072491,8
1636379998385209486,9
1636379998385347960,10
1636379998385463176,11
1636379998385595740,12
1636379998385722105,13
1636379998385855348,14
1636379998385971925,15
1636379998386109082,16
1636379998386273566,1
1636379998386419705,2
1636379998386555519,3
1636379998386670620,4
1636379998386803453,5
1636379998386917075,6
1636379998387038096,8
1636379998387159578,9
1636379998387285626,10
1636379998387411384,11
1636379998387553500,12
1636379998387689966,13
1636379998387829722,14
1636379998387950662,15
1636379998388075600,16
1636379998388192007,1
1636379998388319999,2
1636379998388422846,3
1636379998388549761,4
1636379998388685664,5
1636379998388818404,6
1636379998388930613,7
1636379998389057013,9
1636379998389188656,10
1636379998389903980,11
1636379998390040689,12
1636379998390173858,13
1636379998390306555,14
