%time,field.data
1635959256208385718,1
1635959256209907289,2
1635959256210676467,3
1635959256211424385,4
1635959256212325769,5
1635959256213389897,6
1635959256214193614,7
1635959256214954855,8
1635959256215684480,9
1635959256216302209,10
1635959256216816607,11
1635959256217300495,12
1635959256217800674,13
1635959256218305193,14
1635959256218868700,15
1635959256219396649,16
1635959256219935104,1
1635959256220600553,2
1635959256221211267,3
1635959256221743715,4
1635959256222236013,5
1635959256222615180,6
1635959256223014227,7
1635959256223394550,8
1635959256223749082,9
1635959256224120386,10
1635959256224490388,11
1635959256224837995,12
1635959256225182141,13
1635959256225539575,14
1635959256225899676,15
1635959256226167516,16
1635959256231249978,1
1635959256231483399,2
1635959256231728975,3
1635959256231982034,4
1635959256232240907,5
1635959256232453666,6
1635959256232679736,7
1635959256232935950,8
1635959256233145818,9
1635959256234399030,10
1635959256234644249,11
1635959256234895112,12
1635959256235126009,13
1635959256235365075,14
1635959256235596261,15
1635959256235821828,16
1635959256236032892,1
1635959256236282170,2
1635959256236465077,3
1635959256236663932,4
1635959256236877110,5
1635959256237082153,6
1635959256237277939,7
1635959256237480998,8
1635959256237670034,9
1635959256237880443,10
1635959256238073057,11
1635959256238279683,12
1635959256238463896,13
1635959256238677082,14
1635959256238877903,15
1635959256239091006,16
1635959256239294492,1
1635959256239490499,2
1635959256239703193,3
1635959256239917452,4
1635959256240136265,5
1635959256240316177,6
1635959256240511846,7
1635959256240718101,8
1635959256240936445,9
1635959256241109592,10
1635959256241293828,11
1635959256241442847,12
1635959256241620570,13
1635959256241782281,14
1635959256241970678,15
1635959256242122634,16
1635959256242256331,1
1635959256242393444,2
1635959256242531069,3
1635959256242668928,4
1635959256242799813,5
1635959256242936494,6
1635959256243068645,7
1635959256243199268,8
1635959256243320847,9
1635959256243459039,10
1635959256243571579,11
1635959256243707083,12
1635959256243839496,13
1635959256243992571,14
1635959256244139074,15
1635959256244274402,16
1635959256244396475,1
1635959256244525600,2
1635959256244652462,3
1635959256244777471,4
1635959256244893669,5
1635959256245034786,6
1635959256245160578,7
1635959256245287162,8
1635959256245392340,9
1635959256245516515,10
1635959256245647199,11
1635959256245785759,12
1635959256245919761,13
1635959256246038436,14
1635959256246166995,15
1635959256246299341,16
1635959256246436545,1
1635959256246576651,2
1635959256246711532,3
1635959256246850956,4
1635959256246973268,5
1635959256247089902,6
1635959256247229960,7
1635959256247358085,8
1635959256247491322,9
1635959256247625862,10
1635959256247756223,11
1635959256247890667,12
1635959256248020327,13
1635959256248164736,14
1635959256248286533,15
1635959256248398774,16
1635959256248510445,1
1635959256248654787,2
1635959256248793982,3
1635959256248916610,4
1635959256249033480,5
1635959256249134162,6
1635959256249270650,7
1635959256249399161,8
1635959256249539283,9
1635959256249677610,10
1635959256249808119,11
1635959256249929745,12
1635959256250031016,13
1635959256250146842,14
1635959256250275027,15
1635959256250409420,16
1635959256250536669,1
1635959256250675229,2
1635959256250933564,3
1635959256251061820,4
1635959256251191274,5
1635959256251316590,6
1635959256251430135,7
1635959256251561600,8
1635959256251698558,9
1635959256251857266,10
1635959256252016868,11
1635959256252157326,12
1635959256252286091,13
1635959256252425390,14
1635959256252560931,15
1635959256252690882,16
1635959256252826329,1
1635959256252955465,2
1635959256253090049,3
1635959256253211424,4
1635959256253349631,5
1635959256253486319,6
1635959256253627459,7
1635959256253769918,8
1635959256253904149,9
1635959256254035664,10
1635959256254181465,11
1635959256254318651,12
1635959256254457929,13
1635959256254590803,14
1635959256254724058,15
1635959256254856973,16
1635959256254995010,1
1635959256255131631,2
1635959256255265170,3
1635959256255401242,4
1635959256255533786,5
1635959256255671174,6
1635959256255807142,7
1635959256255947101,8
1635959256256091181,9
1635959256256225708,10
1635959256256358899,11
1635959256256497983,12
1635959256256632932,13
1635959256256767508,14
1635959256256901566,15
1635959256257031226,16
