%time,field.data
1635959256208101588,SP1
1635959256209836961,SP1
1635959256210600798,SP1
1635959256211356990,SP1
1635959256212205859,SP1
1635959256213300102,SP1
1635959256214127448,SP1
1635959256214882156,SP1
1635959256215607140,SP1
1635959256216255006,SP1
1635959256216755067,SP1
1635959256217257376,SP1
1635959256217747886,SP1
1635959256218255262,SP1
1635959256218809332,SP1
1635959256219340016,SP1
1635959256219859817,SP2
1635959256220525713,SP2
1635959256221162013,SP2
1635959256221685077,SP2
1635959256222200295,SP2
1635959256222574459,SP2
1635959256222967372,SP2
1635959256223353294,SP2
1635959256223714039,SP2
1635959256224080165,SP2
1635959256224450729,SP2
1635959256224806050,SP2
1635959256225146913,SP2
1635959256225502348,SP2
1635959256225856370,SP2
1635959256226137606,SP2
1635959256231219499,SP3
1635959256231461339,SP3
1635959256231699627,SP3
1635959256231958559,SP3
1635959256232214726,SP3
1635959256232431388,SP3
1635959256232654307,SP3
1635959256232910512,SP3
1635959256233118924,SP3
1635959256234370964,SP3
1635959256234621744,SP3
1635959256234867933,SP3
1635959256235099745,SP3
1635959256235342626,SP3
1635959256235571101,SP3
1635959256235799704,SP3
1635959256236012169,SP4
1635959256236260446,SP4
1635959256236445481,SP4
1635959256236644982,SP4
1635959256236855492,SP4
1635959256237064358,SP4
1635959256237256194,SP4
1635959256237462687,SP4
1635959256237651141,SP4
1635959256237859075,SP4
1635959256238053844,SP4
1635959256238257884,SP4
1635959256238445076,SP4
1635959256238655932,SP4
1635959256238858706,SP4
1635959256239071631,SP4
1635959256239276396,SP5
1635959256239470633,SP5
1635959256239681277,SP5
1635959256239895553,SP5
1635959256240117446,SP5
1635959256240296369,SP5
1635959256240494067,SP5
1635959256240696236,SP5
1635959256240920663,SP5
1635959256241094168,SP5
1635959256241275465,SP5
1635959256241427431,SP5
1635959256241602588,SP5
1635959256241765613,SP5
1635959256241953547,SP5
1635959256242105639,SP5
1635959256242244139,SP6
1635959256242381254,SP6
1635959256242517334,SP6
1635959256242655124,SP6
1635959256242787517,SP6
1635959256242920858,SP6
1635959256243056639,SP6
1635959256243187060,SP6
1635959256243308059,SP6
1635959256243446282,SP6
1635959256243557252,SP6
1635959256243694899,SP6
1635959256243825456,SP6
1635959256243979172,SP6
1635959256244125081,SP6
1635959256244260472,SP6
1635959256244383975,SP7
1635959256244511993,SP7
1635959256244639818,SP7
1635959256244764036,SP7
1635959256244882610,SP7
1635959256245022352,SP7
1635959256245145637,SP7
1635959256245274148,SP7
1635959256245378284,SP7
1635959256245504016,SP7
1635959256245635522,SP7
1635959256245773792,SP7
1635959256245906063,SP7
1635959256246026764,SP7
1635959256246151313,SP7
1635959256246287553,SP7
1635959256246422389,SP8
1635959256246561136,SP8
1635959256246699081,SP8
1635959256246837172,SP8
1635959256246960822,SP8
1635959256247077798,SP8
1635959256247216590,SP8
1635959256247343992,SP8
1635959256247479056,SP8
1635959256247611922,SP8
1635959256247744094,SP8
1635959256247876810,SP8
1635959256248008155,SP8
1635959256248152229,SP8
1635959256248274609,SP8
1635959256248384852,SP8
1635959256248497957,SP9
1635959256248641723,SP9
1635959256248781756,SP9
1635959256248903222,SP9
1635959256249020887,SP9
1635959256249122314,SP9
1635959256249256759,SP9
1635959256249386879,SP9
1635959256249526556,SP9
1635959256249663930,SP9
1635959256249794702,SP9
1635959256249918517,SP9
1635959256250020370,SP9
1635959256250134614,SP9
1635959256250261007,SP9
1635959256250396995,SP9
1635959256250521535,SP10
1635959256250661660,SP10
1635959256250918414,SP10
1635959256251050392,SP10
1635959256251177064,SP10
1635959256251304820,SP10
1635959256251418874,SP10
1635959256251548015,SP10
1635959256251686404,SP10
1635959256251835219,SP10
1635959256252002115,SP10
1635959256252144738,SP10
1635959256252273931,SP10
1635959256252412403,SP10
1635959256252547318,SP10
1635959256252678020,SP10
1635959256252812859,SP11
1635959256252943024,SP11
1635959256253078089,SP11
1635959256253199019,SP11
1635959256253336958,SP11
1635959256253472008,SP11
1635959256253613257,SP11
1635959256253755692,SP11
1635959256253891682,SP11
1635959256254023419,SP11
1635959256254166891,SP11
1635959256254306069,SP11
1635959256254445114,SP11
1635959256254578474,SP11
1635959256254711951,SP11
1635959256254844620,SP11
1635959256254980859,SP12
1635959256255117617,SP12
1635959256255252679,SP12
1635959256255387064,SP12
1635959256255521391,SP12
1635959256255656985,SP12
1635959256255793279,SP12
1635959256255933103,SP12
1635959256256076971,SP12
1635959256256211531,SP12
1635959256256346348,SP12
1635959256256480620,SP12
1635959256256620460,SP12
1635959256256753336,SP12
1635959256256889139,SP12
1635959256257018830,SP12
