%time,field.data
1637070964798305794,SP1
1637070964799638262,SP1
1637070964800356685,SP1
1637070964801058562,SP1
1637070964801817811,SP1
1637070964802541785,SP1
1637070964803268612,SP1
1637070964804074746,SP1
1637070964804714605,SP1
1637070964805209745,SP1
1637070964805877484,SP1
1637070964806383209,SP1
1637070964806867477,SP1
1637070964807327475,SP1
1637070964807832293,SP1
1637070964808327521,SP1
1637070964808804924,SP2
1637070964809285516,SP2
1637070964809707460,SP2
1637070964810046940,SP2
1637070964810340753,SP2
1637070964810750631,SP2
1637070964811122005,SP2
1637070964811488153,SP2
1637070964811859790,SP2
1637070964812221478,SP2
1637070964812598263,SP2
1637070964813021730,SP2
1637070964813532629,SP2
1637070964813899093,SP2
1637070964814275732,SP2
1637070964814645744,SP2
1637070964814938892,SP3
1637070964815226610,SP3
1637070964815542539,SP3
1637070964815849653,SP3
1637070964816129517,SP3
1637070964816415512,SP3
1637070964816711212,SP3
1637070964816996682,SP3
1637070964817289396,SP3
1637070964817578754,SP3
1637070964817850959,SP3
1637070964818142945,SP3
1637070964818400789,SP3
1637070964818691371,SP3
1637070964818980806,SP3
1637070964819277721,SP3
1637070964819612821,SP4
1637070964819843850,SP4
1637070964820099004,SP4
1637070964820349094,SP4
1637070964820596191,SP4
1637070964820829517,SP4
1637070964821108752,SP4
1637070964821391509,SP4
1637070964821625906,SP4
1637070964821875626,SP4
1637070964822122989,SP4
1637070964822329555,SP4
1637070964822571214,SP4
1637070964822795134,SP4
1637070964823039163,SP4
1637070964823273707,SP4
1637070964823507909,SP5
1637070964823776646,SP5
1637070964824027994,SP5
1637070964824275659,SP5
1637070964824505219,SP5
1637070964824730991,SP5
1637070964824942770,SP5
1637070964825120952,SP5
1637070964825330829,SP5
1637070964825529919,SP5
1637070964825716911,SP5
1637070964825859307,SP5
1637070964825990402,SP5
1637070964826124632,SP5
1637070964826245864,SP5
1637070964826388187,SP5
1637070964826521710,SP6
1637070964826664876,SP6
1637070964826798281,SP6
1637070964826921991,SP6
1637070964827030567,SP6
1637070964827167580,SP6
1637070964827282377,SP6
1637070964827412007,SP6
1637070964827549915,SP6
1637070964827678623,SP6
1637070964827818650,SP6
1637070964827954143,SP6
1637070964828058380,SP6
1637070964828196478,SP6
1637070964828311297,SP6
1637070964828447498,SP6
1637070964828585748,SP7
1637070964828696422,SP7
1637070964828817850,SP7
1637070964828973734,SP7
1637070964829144188,SP7
1637070964829314080,SP7
1637070964829471469,SP7
1637070964829625439,SP7
1637070964829779312,SP7
1637070964829929195,SP7
1637070964830092029,SP7
1637070964830244539,SP7
1637070964830395708,SP7
1637070964830555285,SP7
1637070964830717759,SP7
1637070964830883661,SP7
1637070964831038028,SP8
1637070964831200106,SP8
1637070964831344848,SP8
1637070964831501811,SP8
1637070964831677122,SP8
1637070964831845941,SP8
1637070964832015095,SP8
1637070964832182869,SP8
1637070964832347127,SP8
1637070964832493880,SP8
1637070964832658326,SP8
1637070964832816343,SP8
1637070964832983770,SP8
1637070964833137354,SP8
1637070964833285382,SP8
1637070964833440517,SP8
1637070964833602977,SP9
1637070964833764916,SP9
1637070964833937924,SP9
1637070964834099439,SP9
1637070964834262308,SP9
1637070964834427777,SP9
1637070964834589964,SP9
1637070964834754970,SP9
1637070964834923336,SP9
1637070964835080002,SP9
1637070964835241510,SP9
1637070964835399005,SP9
