%time,field.data
1637070964798471784,1
1637070964799722058,2
1637070964800423576,3
1637070964801132886,4
1637070964801883903,5
1637070964802614294,6
1637070964803343927,7
1637070964804148343,8
1637070964804758504,9
1637070964805274177,10
1637070964805923927,11
1637070964806437438,12
1637070964806909468,13
1637070964807377371,14
1637070964807879786,15
1637070964808374567,16
1637070964808857543,1
1637070964809328321,2
1637070964809737980,3
1637070964810080761,4
1637070964810378020,5
1637070964810785971,6
1637070964811157385,7
1637070964811527835,8
1637070964811890571,9
1637070964812250390,10
1637070964812638868,11
1637070964813070859,12
1637070964813567636,13
1637070964813939863,14
1637070964814308148,15
1637070964814672135,16
1637070964814968106,1
1637070964815254760,2
1637070964815581744,3
1637070964815877395,4
1637070964816152232,5
1637070964816446300,6
1637070964816736214,7
1637070964817021302,8
1637070964817318945,9
1637070964817602601,10
1637070964817881381,11
1637070964818168271,12
1637070964818431469,13
1637070964818717928,14
1637070964819011413,15
1637070964819304366,16
1637070964819638421,1
1637070964819868954,2
1637070964820124759,3
1637070964820374927,4
1637070964820617081,5
1637070964820848845,6
1637070964821148429,7
1637070964821412401,8
1637070964821652229,9
1637070964821903475,10
1637070964822145181,11
1637070964822354936,12
1637070964822592613,13
1637070964822818344,14
1637070964823063695,15
1637070964823295148,16
1637070964823533987,1
1637070964823802952,2
1637070964824053735,3
1637070964824300962,4
1637070964824526841,5
1637070964824754814,6
1637070964824960311,7
1637070964825142491,8
1637070964825348818,9
1637070964825565113,10
1637070964825731702,11
1637070964825871042,12
1637070964826004462,13
1637070964826136522,14
1637070964826261733,15
1637070964826402405,16
1637070964826534063,1
1637070964826678764,2
1637070964826809788,3
1637070964826933107,4
1637070964827044723,5
1637070964827179368,6
1637070964827295687,7
1637070964827429405,8
1637070964827564035,9
1637070964827693266,10
1637070964827830554,11
1637070964827965374,12
1637070964828070396,13
1637070964828208553,14
1637070964828324902,15
1637070964828462300,16
1637070964828597642,1
1637070964828710557,2
1637070964828830136,3
1637070964828991172,4
1637070964829160111,5
1637070964829329238,6
1637070964829486162,7
1637070964829643431,8
1637070964829791742,9
1637070964829943912,10
1637070964830105702,11
1637070964830261472,12
1637070964830412379,13
1637070964830569862,14
1637070964830734598,15
1637070964830899565,16
1637070964831054609,1
1637070964831214597,2
1637070964831359708,3
1637070964831518370,4
1637070964831692347,5
1637070964831863631,6
1637070964832031356,7
1637070964832199119,8
1637070964832361906,9
1637070964832510091,10
1637070964832673281,11
1637070964832833075,12
1637070964832999295,13
1637070964833149795,14
1637070964833300543,15
1637070964833457321,16
1637070964833618136,1
1637070964833782040,2
1637070964833953040,3
1637070964834114261,4
1637070964834278682,5
1637070964834443181,6
1637070964834604570,7
1637070964834771481,8
1637070964834940354,9
1637070964835094922,10
1637070964835258725,11
1637070964835413220,12
1637070964835592022,13
1637070964835733402,14
1637070964835988641,15
1637070964836120700,16
1637070964836258285,1
1637070964836381623,2
1637070964836521473,3
1637070964836658047,4
1637070964836793797,5
1637070964836923148,6
1637070964837082860,7
1637070964837214819,8
1637070964837355504,9
1637070964837492493,10
1637070964837623859,11
1637070964837758558,12
1637070964837886081,13
1637070964838023639,14
1637070964838156639,15
1637070964838292455,16
1637070964838421027,1
1637070964838562914,2
1637070964838696707,3
1637070964838835353,4
1637070964838962313,5
1637070964839097737,6
1637070964839233644,7
1637070964839357141,8
1637070964839491891,9
1637070964839635835,10
1637070964839764203,11
1637070964839883589,12
1637070964840021794,13
1637070964840145460,14
1637070964840253553,15
1637070964840359985,16
1637070964840464473,1
1637070964840602536,2
1637070964840735715,3
1637070964840862584,4
1637070964840989413,5
1637070964841116110,6
1637070964841252463,7
1637070964841368573,8
1637070964841496373,9
1637070964841616442,10
1637070964841750295,11
1637070964841880519,12
1637070964842005889,13
1637070964842139758,14
1637070964842265458,15
1637070964842391810,16
1637070964842513183,2
1637070964842633013,3
1637070964842762329,4
1637070964842891980,5
1637070964843018574,6
1637070964843151382,7
1637070964843290055,8
1637070964843413176,9
1637070964843543072,10
1637070964843677986,11
1637070964843801396,12
1637070964843924216,13
1637070964844047655,14
1637070964844175300,15
1637070964844306274,16
1637070964844428314,1
1637070964844558034,3
1637070964852973366,4
1637070964853140955,5
1637070964853274722,6
1637070964853403022,7
1637070964853528896,8
1637070964853650569,9
1637070964853768127,10
1637070964853883784,11
1637070964854034231,12
1637070964854176248,13
1637070964854329487,14
1637070964854503363,15
1637070964854680777,16
1637070964854854723,1
1637070964855009763,2
1637070964855178137,4
1637070964855312811,5
1637070964855471368,6
1637070964855644287,7
1637070964855811556,8
1637070964855966097,9
1637070964856116902,10
1637070964856229186,11
1637070964856358168,12
1637070964856475570,13
1637070964856590272,14
1637070964856734423,15
1637070964856899226,16
1637070964857059599,1
1637070964857210272,2
1637070964857346870,3
1637070964857494589,5
1637070964857635463,6
1637070964857767067,7
1637070964857903617,8
1637070964858032676,9
1637070964858168783,10
1637070964858316249,11
1637070964858466846,12
1637070964858627050,13
1637070964858788625,14
1637070964858947186,15
1637070964859111485,16
1637070964859278377,1
1637070964859427454,2
1637070964859589671,3
1637070964859750639,4
1637070964859895037,6
1637070964860021229,7
1637070964860147780,8
1637070964860315739,9
1637070964860474612,10
1637070964860638281,11
1637070964860783391,12
1637070964860914502,13
1637070964861069602,14
1637070964861235720,15
1637070964861382980,16
1637070964861542097,1
1637070964861701744,2
1637070964861863820,3
1637070964862005379,4
1637070964862161701,5
1637070964862318235,7
1637070964862434992,8
1637070964862578493,9
1637070964862740720,10
1637070964862898523,11
1637070964863054551,12
1637070964863218359,13
1637070964863372317,14
1637070964863525162,15
1637070964863707759,16
1637070964863863883,1
1637070964864027803,2
1637070964864198480,3
1637070964864366931,4
1637070964864529137,5
1637070964864685109,6
1637070964865105775,8
1637070964865252234,9
1637070964865409160,10
1637070964865551931,11
1637070964865672022,12
1637070964865797603,13
1637070964865955200,14
1637070964866120170,15
1637070964866281396,16
1637070964866433787,1
1637070964866555124,2
1637070964866712560,3
1637070964866868072,4
1637070964867599654,5
1637070964867724622,6
1637070964867866787,7
1637070964868024718,9
1637070964868161688,10
1637070964868284422,11
