%time,field.data
1636477254831508329,SP2
1636477254832017654,SP3
1636477254832285347,SP4
1636477254832653948,SP5
1636477254832984258,SP6
1636477254833289191,SP7
1636477254833584218,SP8
1636477254833879382,SP9
1636477254834156699,SP10
1636477254834452785,SP11
1636477254834730839,SP12
1636477254835004088,1
1636477254835310025,2
1636477254835621931,3
1636477254835904010,4
1636477254836177739,5
1636477254836478234,6
1636477254836721513,7
1636477254836961623,8
1636477254837171266,9
1636477254837414241,10
1636477254837644734,11
1636477254837880648,12
1636477254838113705,13
1636477254838348523,14
1636477254838585098,15
1636477254838829072,16
1636477254839055330,SP1
1636477254839305229,SP3
1636477254839543763,SP4
1636477254839843755,SP5
1636477254840085661,SP6
1636477254840348009,SP7
1636477254840673116,SP8
1636477254841027310,SP9
1636477254841343009,SP10
1636477254841530282,SP11
1636477254841685080,SP12
1636477254841986726,1
1636477254842288777,2
1636477254842540026,3
1636477254842848143,4
1636477254843173485,5
1636477254843501050,6
1636477254843829200,7
1636477254844157947,8
1636477254844474455,9
1636477254844755912,10
1636477254845068899,11
1636477254845393072,12
1636477254845714295,13
1636477254846013327,14
1636477254846322027,15
1636477254846617620,16
1636477254846885371,SP1
1636477254847164877,SP2
1636477254847435422,SP4
1636477254847725452,SP5
1636477254847981252,SP6
1636477254848228097,SP7
1636477254848513206,SP8
1636477254848776464,SP9
1636477254849007780,SP10
1636477254849256827,SP11
1636477254849522333,SP12
1636477254849765726,1
1636477254850042553,2
1636477254850323159,3
1636477254850578673,4
1636477254850842372,5
1636477254851100545,6
1636477254851378150,7
1636477254851663366,8
1636477254851911311,9
1636477254852090461,10
1636477254852298299,11
1636477254852532420,12
1636477254852782353,13
1636477254853025997,14
1636477254853256412,15
1636477254853498991,16
1636477254853743831,SP1
1636477254853984654,SP2
1636477254854210267,SP3
1636477254854438536,SP5
1636477254854649127,SP6
1636477254854861362,SP7
1636477254855098487,SP8
1636477254855341504,SP9
1636477254855516694,SP10
1636477254855772565,SP11
1636477254855988011,SP12
1636477254856233497,1
1636477254856515015,2
1636477254856718304,3
1636477254856891636,4
1636477254857113407,5
1636477254857338938,6
1636477254857555505,7
1636477254857779792,8
1636477254857967363,9
1636477254858176390,10
1636477254858399742,11
1636477254858563003,12
1636477254858770085,13
1636477254858998921,14
1636477254859222607,15
1636477254859449145,16
1636477254859684154,SP1
1636477254859914255,SP2
1636477254860133008,SP3
1636477254860330091,SP4
1636477254860504358,SP6
1636477254860693536,SP7
1636477254860899870,SP8
1636477254861130799,SP9
1636477254861343452,SP10
1636477254861565838,SP11
1636477254861782289,SP12
1636477254861993112,1
1636477254862185259,2
1636477254862328131,3
1636477254862469126,4
1636477254862663639,5
1636477254862853670,6
1636477254863022219,7
1636477254863206872,8
1636477254863386170,9
1636477254863599316,10
1636477254863732762,11
1636477254863872646,12
1636477254864076614,13
1636477254864292849,14
1636477254864456671,15
1636477254864598514,16
1636477254864724644,SP1
1636477254864865029,SP2
1636477254864972084,SP3
1636477254865077458,SP4
1636477254865193878,SP5
1636477254865320801,SP7
1636477254865577455,SP8
1636477254865696359,SP9
1636477254865829739,SP10
1636477254865960332,SP11
1636477254866070787,SP12
1636477254866200356,1
1636477254866324286,2
1636477254866462675,3
1636477254866587006,4
1636477254866723360,5
1636477254866836301,6
1636477254866945465,7
1636477254867076328,8
1636477254867214415,9
1636477254867337634,10
1636477254867472633,11
1636477254867611486,12
1636477254867746297,13
1636477254867875657,14
1636477254868007153,15
1636477254868139211,16
1636477254868271772,SP1
1636477254868406549,SP2
1636477254868530880,SP3
1636477254868661750,SP4
1636477254868800922,SP5
1636477254868932261,SP6
1636477254869068637,SP8
1636477254869199780,SP9
1636477254869330446,SP10
1636477254869459618,SP11
1636477254869590893,SP12
1636477254869721957,1
1636477254869851392,2
1636477254869980164,3
1636477254870107688,4
1636477254870239664,5
1636477254875103502,6
1636477254875229452,7
1636477254875363635,8
1636477254875507956,9
1636477254875652648,10
1636477254875784095,11
1636477254875920251,12
1636477254876040459,13
1636477254876143169,14
1636477254876257225,15
1636477254876374266,16
1636477254876496276,SP1
1636477254876625873,SP2
1636477254876757391,SP3
1636477254876880676,SP4
1636477254877004000,SP5
1636477254877140436,SP6
1636477254877273006,SP7
1636477254877398799,SP9
1636477254877529633,SP10
1636477254877666977,SP11
1636477254877787064,SP12
1636477254877918515,1
1636477254878048695,2
1636477254878179568,3
1636477254878311758,4
1636477254878445787,5
1636477254878585273,6
1636477254878723422,7
1636477254878861265,8
1636477254878992566,9
1636477254879125975,10
1636477254879249124,11
1636477254879381945,12
1636477254879517766,13
1636477254879660063,14
1636477254879794037,15
1636477254879928012,16
1636477254880048679,SP1
1636477254880178643,SP2
1636477254880327999,SP3
1636477254880470133,SP4
1636477254880612139,SP5
1636477254880741309,SP6
1636477254880878745,SP7
1636477254881007487,SP8
1636477254881138832,SP10
1636477254881274406,SP11
1636477254881409241,SP12
1636477254881548661,1
1636477254881689932,2
1636477254881830822,3
1636477254881966619,4
1636477254882102131,5
1636477254882219991,6
1636477254882351557,7
1636477254882464976,8
1636477254882579625,9
